id_log,Nome do Navio,Data,Porto,Tipo de Custo,Valor (USD),Descrição,Tipo de Carga,Volume,Temperatura,Volume (m³),Tonelagem,Número de Contêineres,Tipo de Contêineres,Número de Veículos,Tipo de Veículos
17,Frigorífico B,2023-01-01,Singapura,Carregamento/Descarga,4994.0,Carregamento/descarga de 4994 m³ de Carnes a -16°C,Carnes,,-16.0,4994.0,,,,,
18,Frigorífico B,2023-01-01,Singapura,Manutenção,5749.04,Manutenção e reparos,,,,,,,,,
19,Frigorífico C,2023-01-01,Los Angeles,Carregamento/Descarga,15633.0,Carregamento/descarga de 15633 m³ de Frutas a -11°C,Frutas,,-11.0,15633.0,,,,,
20,Frigorífico C,2023-01-01,Los Angeles,Carregamento/Descarga,11593.0,Carregamento/descarga de 11593 m³ de Laticínios a 1°C,Laticínios,,1.0,11593.0,,,,,
21,Frigorífico C,2023-01-01,Xangai,Manutenção,4964.16,Manutenção e reparos,,,,,,,,,
22,Frigorífico D,2023-01-01,Los Angeles,Combustível,27950.79,Combustível em Los Angeles,,,,,,,,,
23,Frigorífico D,2023-01-01,Xangai,Taxas Portuárias,8583.1,Taxas portuárias em Xangai,,,,,,,,,
24,Frigorífico D,2023-01-01,Roterdã,Combustível,25113.45,Combustível em Roterdã,,,,,,,,,
25,Frigorífico D,2023-01-01,Roterdã,Combustível,14326.27,Combustível em Roterdã,,,,,,,,,
26,Frigorífico E,2023-01-01,Roterdã,Manutenção,2367.16,Manutenção e reparos,,,,,,,,,
27,Frigorífico E,2023-01-01,Roterdã,Combustível,23293.93,Combustível em Roterdã,,,,,,,,,
28,Frigorífico E,2023-01-01,Los Angeles,Taxas Portuárias,6856.2,Taxas portuárias em Los Angeles,,,,,,,,,
29,Frigorífico E,2023-01-01,Los Angeles,Seguros,2500.0,Seguro diário,,,,,,,,,
30,Graneleiro A,2023-01-01,Xangai,Taxas Portuárias,4741.06,Taxas portuárias em Xangai,,,,,,,,,
31,Graneleiro B,2023-01-01,Xangai,Carga e Descarga,631908.0,Carga e descarga de 52659 toneladas de Carvão,Carvão,,,,52659.0,,,,
32,Graneleiro B,2023-01-01,Hamburgo,Manutenção,1420.61,Manutenção e reparos,,,,,,,,,
33,Graneleiro B,2023-01-01,Roterdã,Combustível,23403.81,Combustível em Roterdã,,,,,,,,,
34,Graneleiro B,2023-01-01,Singapura,Carga e Descarga,658062.0,Carga e descarga de 36559 toneladas de Bauxita,Bauxita,,,,36559.0,,,,
35,Graneleiro C,2023-01-01,Singapura,Carga e Descarga,501465.0,Carga e descarga de 33431 toneladas de Minério de Ferro,Minério de Ferro,,,,33431.0,,,,
36,Graneleiro C,2023-01-01,Roterdã,Taxas Portuárias,5908.62,Taxas portuárias em Roterdã,,,,,,,,,
37,Graneleiro C,2023-01-01,Roterdã,Combustível,20463.88,Combustível em Roterdã,,,,,,,,,
38,Graneleiro D,2023-01-01,Hamburgo,Carga e Descarga,761748.0,Carga e descarga de 63479 toneladas de Carvão,Carvão,,,,63479.0,,,,
39,Graneleiro D,2023-01-01,Xangai,Seguros,2000.0,Seguro diário,,,,,,,,,
40,Graneleiro E,2023-01-01,Xangai,Manutenção,2681.94,Manutenção e reparos,,,,,,,,,
41,Graneleiro E,2023-01-01,Roterdã,Combustível,28645.45,Combustível em Roterdã,,,,,,,,,
42,Graneleiro E,2023-01-01,Roterdã,Carga e Descarga,742284.0,Carga e descarga de 61857 toneladas de Carvão,Carvão,,,,61857.0,,,,
43,Graneleiro E,2023-01-01,Singapura,Seguros,2000.0,Seguro diário,,,,,,,,,
44,Graneleiro E,2023-01-01,Roterdã,Manutenção,4622.19,Manutenção e reparos,,,,,,,,,
45,Navio A,2023-01-01,Singapura,Seguros,1500.0,Seguro diário,,,,,,,,,
46,Navio A,2023-01-01,Los Angeles,Taxas Portuárias,3968.74,Taxas portuárias em Los Angeles,,,,,,,,,
47,Navio A,2023-01-01,Hamburgo,Seguros,1500.0,Seguro diário,,,,,,,,,
48,Navio A,2023-01-01,Hamburgo,Seguros,1500.0,Seguro diário,,,,,,,,,
49,Navio B,2023-01-01,Singapura,Taxas Portuárias,4160.89,Taxas portuárias em Singapura,,,,,,,,,
50,Navio C,2023-01-01,Los Angeles,Seguros,1500.0,Seguro diário,,,,,,,,,
51,Navio C,2023-01-01,Roterdã,Taxas Portuárias,3343.71,Taxas portuárias em Roterdã,,,,,,,,,
52,Navio C,2023-01-01,Xangai,Taxas Portuárias,1981.75,Taxas portuárias em Xangai,,,,,,,,,
53,Navio D,2023-01-01,Xangai,Combustível,11297.45,Combustível em Xangai,,,,,,,,,
54,Navio D,2023-01-01,Hamburgo,Taxas Portuárias,1324.24,Taxas portuárias em Hamburgo,,,,,,,,,
55,Navio E,2023-01-01,Singapura,Combustível,9006.37,Combustível em Singapura,,,,,,,,,
56,Navio E,2023-01-01,Los Angeles,Combustível,16282.42,Combustível em Los Angeles,,,,,,,,,
57,Navio E,2023-01-01,Xangai,Taxas Portuárias,4097.05,Taxas portuárias em Xangai,,,,,,,,,
58,Navio E,2023-01-01,Singapura,Manutenção,1730.16,Manutenção e reparos,,,,,,,,,
59,Ro-Ro A,2023-01-01,Singapura,Combustível,21716.84,Combustível em Singapura,,,,,,,,,
60,Ro-Ro B,2023-01-01,Xangai,Seguros,1800.0,Seguro diário,,,,,,,,,
61,Ro-Ro B,2023-01-01,Singapura,Embarque e Desembarque,132400.0,Embarque e desembarque de 662 Caminhões,,,,,,,,662.0,Caminhões
62,Ro-Ro B,2023-01-01,Roterdã,Manutenção,1237.28,Manutenção e reparos,,,,,,,,,
63,Ro-Ro B,2023-01-01,Singapura,Manutenção,3053.89,Manutenção e reparos,,,,,,,,,
64,Ro-Ro C,2023-01-01,Los Angeles,Taxas Portuárias,1776.27,Taxas portuárias em Los Angeles,,,,,,,,,
65,Ro-Ro C,2023-01-01,Los Angeles,Taxas Portuárias,2218.87,Taxas portuárias em Los Angeles,,,,,,,,,
66,Ro-Ro C,2023-01-01,Singapura,Taxas Portuárias,4802.06,Taxas portuárias em Singapura,,,,,,,,,
67,Ro-Ro C,2023-01-01,Xangai,Manutenção,3230.84,Manutenção e reparos,,,,,,,,,
68,Ro-Ro C,2023-01-01,Singapura,Combustível,8561.97,Combustível em Singapura,,,,,,,,,
69,Ro-Ro D,2023-01-01,Los Angeles,Embarque e Desembarque,34400.0,Embarque e desembarque de 430 Carros,,,,,,,,430.0,Carros
70,Ro-Ro D,2023-01-01,Roterdã,Manutenção,3893.38,Manutenção e reparos,,,,,,,,,
71,Ro-Ro E,2023-01-01,Los Angeles,Embarque e Desembarque,185200.0,Embarque e desembarque de 926 Caminhões,,,,,,,,926.0,Caminhões
72,Carga Geral A,2023-01-02,Xangai,Seguros,1900.0,Seguro diário,,,,,,,,,
73,Carga Geral B,2023-01-02,Roterdã,Seguros,1900.0,Seguro diário,,,,,,,,,
74,Carga Geral B,2023-01-02,Xangai,Manutenção,4435.71,Manutenção e reparos,,,,,,,,,
75,Carga Geral B,2023-01-02,Roterdã,Combustível,15782.46,Combustível em Roterdã,,,,,,,,,
76,Carga Geral C,2023-01-02,Los Angeles,Combustível,16297.29,Combustível em Los Angeles,,,,,,,,,
77,Carga Geral D,2023-01-02,Hamburgo,Combustível,8657.12,Combustível em Hamburgo,,,,,,,,,
78,Carga Geral D,2023-01-02,Xangai,Manutenção,1303.41,Manutenção e reparos,,,,,,,,,
79,Carga Geral D,2023-01-02,Los Angeles,Manutenção,1195.23,Manutenção e reparos,,,,,,,,,
80,Carga Geral D,2023-01-02,Roterdã,Combustível,7282.16,Combustível em Roterdã,,,,,,,,,
81,Carga Geral E,2023-01-02,Xangai,Carregamento/Descarga,15815.5,Carregamento/descarga de 31631 m³ de Granéis Sólidos,Granéis Sólidos,31631.0,,,,,,,
82,Carga Geral E,2023-01-02,Xangai,Taxas Portuárias,2390.47,Taxas portuárias em Xangai,,,,,,,,,
83,Frigorífico A,2023-01-02,Singapura,Combustível,21354.4,Combustível em Singapura,,,,,,,,,
84,Frigorífico A,2023-01-02,Xangai,Combustível,21260.56,Combustível em Xangai,,,,,,,,,
85,Frigorífico A,2023-01-02,Hamburgo,Combustível,29294.74,Combustível em Hamburgo,,,,,,,,,
86,Frigorífico A,2023-01-02,Singapura,Manutenção,5454.0,Manutenção e reparos,,,,,,,,,
87,Frigorífico B,2023-01-02,Los Angeles,Taxas Portuárias,4787.74,Taxas portuárias em Los Angeles,,,,,,,,,
88,Frigorífico B,2023-01-02,Los Angeles,Taxas Portuárias,4540.44,Taxas portuárias em Los Angeles,,,,,,,,,
89,Frigorífico C,2023-01-02,Roterdã,Carregamento/Descarga,18312.0,Carregamento/descarga de 18312 m³ de Frutas a -3°C,Frutas,,-3.0,18312.0,,,,,
90,Frigorífico C,2023-01-02,Los Angeles,Manutenção,2953.76,Manutenção e reparos,,,,,,,,,
91,Frigorífico C,2023-01-02,Singapura,Combustível,16714.34,Combustível em Singapura,,,,,,,,,
92,Frigorífico C,2023-01-02,Hamburgo,Carregamento/Descarga,25210.5,Carregamento/descarga de 16807 m³ de Outros a 0°C,Outros,,0.0,16807.0,,,,,
93,Frigorífico C,2023-01-02,Singapura,Carregamento/Descarga,15370.0,Carregamento/descarga de 15370 m³ de Frutas a -18°C,Frutas,,-18.0,15370.0,,,,,
94,Frigorífico D,2023-01-02,Los Angeles,Combustível,19030.49,Combustível em Los Angeles,,,,,,,,,
95,Frigorífico E,2023-01-02,Singapura,Manutenção,5863.16,Manutenção e reparos,,,,,,,,,
96,Graneleiro A,2023-01-02,Hamburgo,Carga e Descarga,1210960.0,Carga e descarga de 60548 toneladas de Fertilizantes,Fertilizantes,,,,60548.0,,,,
97,Graneleiro A,2023-01-02,Roterdã,Carga e Descarga,253908.0,Carga e descarga de 21159 toneladas de Carvão,Carvão,,,,21159.0,,,,
98,Graneleiro A,2023-01-02,Singapura,Manutenção,3128.99,Manutenção e reparos,,,,,,,,,
99,Graneleiro A,2023-01-02,Xangai,Manutenção,2958.88,Manutenção e reparos,,,,,,,,,
100,Graneleiro A,2023-01-02,Roterdã,Carga e Descarga,443148.0,Carga e descarga de 36929 toneladas de Carvão,Carvão,,,,36929.0,,,,
101,Graneleiro B,2023-01-02,Los Angeles,Carga e Descarga,719316.0,Carga e descarga de 39962 toneladas de Bauxita,Bauxita,,,,39962.0,,,,
102,Graneleiro B,2023-01-02,Hamburgo,Carga e Descarga,427005.0,Carga e descarga de 28467 toneladas de Minério de Ferro,Minério de Ferro,,,,28467.0,,,,
103,Graneleiro B,2023-01-02,Xangai,Taxas Portuárias,2755.43,Taxas portuárias em Xangai,,,,,,,,,
104,Graneleiro B,2023-01-02,Los Angeles,Seguros,2000.0,Seguro diário,,,,,,,,,
105,Graneleiro B,2023-01-02,Singapura,Combustível,9646.54,Combustível em Singapura,,,,,,,,,
106,Graneleiro C,2023-01-02,Hamburgo,Manutenção,4205.45,Manutenção e reparos,,,,,,,,,
107,Graneleiro C,2023-01-02,Los Angeles,Combustível,21856.57,Combustível em Los Angeles,,,,,,,,,
108,Graneleiro C,2023-01-02,Singapura,Manutenção,3186.78,Manutenção e reparos,,,,,,,,,
109,Graneleiro C,2023-01-02,Los Angeles,Carga e Descarga,783040.0,Carga e descarga de 78304 toneladas de Grãos,Grãos,,,,78304.0,,,,
110,Graneleiro C,2023-01-02,Singapura,Combustível,15083.46,Combustível em Singapura,,,,,,,,,
111,Graneleiro D,2023-01-02,Hamburgo,Seguros,2000.0,Seguro diário,,,,,,,,,
112,Graneleiro D,2023-01-02,Roterdã,Manutenção,3557.4,Manutenção e reparos,,,,,,,,,
113,Graneleiro D,2023-01-02,Los Angeles,Manutenção,2648.25,Manutenção e reparos,,,,,,,,,
114,Graneleiro D,2023-01-02,Xangai,Taxas Portuárias,6031.33,Taxas portuárias em Xangai,,,,,,,,,
115,Graneleiro D,2023-01-02,Roterdã,Manutenção,4139.24,Manutenção e reparos,,,,,,,,,
116,Graneleiro E,2023-01-02,Hamburgo,Combustível,29770.05,Combustível em Hamburgo,,,,,,,,,
117,Graneleiro E,2023-01-02,Roterdã,Manutenção,3135.72,Manutenção e reparos,,,,,,,,,
118,Graneleiro E,2023-01-02,Singapura,Seguros,2000.0,Seguro diário,,,,,,,,,
119,Graneleiro E,2023-01-02,Singapura,Seguros,2000.0,Seguro diário,,,,,,,,,
120,Graneleiro E,2023-01-02,Los Angeles,Carga e Descarga,598920.0,Carga e descarga de 59892 toneladas de Grãos,Grãos,,,,59892.0,,,,
121,Navio A,2023-01-02,Singapura,Taxas Portuárias,1299.97,Taxas portuárias em Singapura,,,,,,,,,
122,Navio A,2023-01-02,Singapura,Seguros,1500.0,Seguro diário,,,,,,,,,
123,Navio A,2023-01-02,Singapura,Seguros,1500.0,Seguro diário,,,,,,,,,
124,Navio A,2023-01-02,Singapura,Manutenção,2807.34,Manutenção e reparos,,,,,,,,,
125,Navio B,2023-01-02,Hamburgo,Seguros,1500.0,Seguro diário,,,,,,,,,
126,Navio B,2023-01-02,Hamburgo,Manuseio de Contêineres,72950.0,Manuseio de 1459 contêineres (20'),,,,,,1459.0,20',,
127,Navio C,2023-01-02,Los Angeles,Taxas Portuárias,1534.01,Taxas portuárias em Los Angeles,,,,,,,,,
128,Navio C,2023-01-02,Los Angeles,Combustível,13016.29,Combustível em Los Angeles,,,,,,,,,
129,Navio C,2023-01-02,Xangai,Seguros,1500.0,Seguro diário,,,,,,,,,
130,Navio C,2023-01-02,Xangai,Taxas Portuárias,3060.72,Taxas portuárias em Xangai,,,,,,,,,
131,Navio C,2023-01-02,Roterdã,Manutenção,1544.28,Manutenção e reparos,,,,,,,,,
132,Navio D,2023-01-02,Roterdã,Seguros,1500.0,Seguro diário,,,,,,,,,
133,Navio E,2023-01-02,Singapura,Combustível,17844.88,Combustível em Singapura,,,,,,,,,
134,Navio E,2023-01-02,Roterdã,Combustível,10324.63,Combustível em Roterdã,,,,,,,,,
135,Navio E,2023-01-02,Los Angeles,Combustível,5911.08,Combustível em Los Angeles,,,,,,,,,
136,Navio E,2023-01-02,Xangai,Manutenção,2119.0,Manutenção e reparos,,,,,,,,,
137,Navio E,2023-01-02,Hamburgo,Combustível,8427.41,Combustível em Hamburgo,,,,,,,,,
138,Ro-Ro A,2023-01-02,Singapura,Manutenção,999.23,Manutenção e reparos,,,,,,,,,
139,Ro-Ro A,2023-01-02,Xangai,Taxas Portuárias,5708.94,Taxas portuárias em Xangai,,,,,,,,,
140,Ro-Ro A,2023-01-02,Xangai,Manutenção,3545.85,Manutenção e reparos,,,,,,,,,
141,Ro-Ro A,2023-01-02,Xangai,Taxas Portuárias,2043.51,Taxas portuárias em Xangai,,,,,,,,,
142,Ro-Ro A,2023-01-02,Xangai,Taxas Portuárias,2348.67,Taxas portuárias em Xangai,,,,,,,,,
143,Ro-Ro B,2023-01-02,Singapura,Combustível,22879.42,Combustível em Singapura,,,,,,,,,
144,Ro-Ro B,2023-01-02,Xangai,Seguros,1800.0,Seguro diário,,,,,,,,,
145,Ro-Ro C,2023-01-02,Singapura,Taxas Portuárias,4565.77,Taxas portuárias em Singapura,,,,,,,,,
146,Ro-Ro C,2023-01-02,Xangai,Seguros,1800.0,Seguro diário,,,,,,,,,
147,Ro-Ro C,2023-01-02,Singapura,Taxas Portuárias,3822.04,Taxas portuárias em Singapura,,,,,,,,,
148,Ro-Ro D,2023-01-02,Xangai,Taxas Portuárias,2567.06,Taxas portuárias em Xangai,,,,,,,,,
149,Ro-Ro D,2023-01-02,Singapura,Combustível,17446.63,Combustível em Singapura,,,,,,,,,
150,Ro-Ro D,2023-01-02,Los Angeles,Taxas Portuárias,2688.15,Taxas portuárias em Los Angeles,,,,,,,,,
151,Ro-Ro E,2023-01-02,Los Angeles,Taxas Portuárias,2560.96,Taxas portuárias em Los Angeles,,,,,,,,,
152,Carga Geral A,2023-01-03,Xangai,Manutenção,3978.51,Manutenção e reparos,,,,,,,,,
153,Carga Geral B,2023-01-03,Singapura,Manutenção,3198.57,Manutenção e reparos,,,,,,,,,
154,Carga Geral C,2023-01-03,Roterdã,Taxas Portuárias,6875.25,Taxas portuárias em Roterdã,,,,,,,,,
155,Carga Geral C,2023-01-03,Hamburgo,Taxas Portuárias,6971.67,Taxas portuárias em Hamburgo,,,,,,,,,
156,Carga Geral C,2023-01-03,Xangai,Taxas Portuárias,3383.01,Taxas portuárias em Xangai,,,,,,,,,
157,Carga Geral C,2023-01-03,Hamburgo,Manutenção,4383.43,Manutenção e reparos,,,,,,,,,
158,Carga Geral C,2023-01-03,Los Angeles,Seguros,1900.0,Seguro diário,,,,,,,,,
159,Carga Geral D,2023-01-03,Hamburgo,Seguros,1900.0,Seguro diário,,,,,,,,,
160,Carga Geral D,2023-01-03,Hamburgo,Carregamento/Descarga,7356.5,Carregamento/descarga de 14713 m³ de Granéis Sólidos,Granéis Sólidos,14713.0,,,,,,,
161,Carga Geral D,2023-01-03,Hamburgo,Taxas Portuárias,2929.83,Taxas portuárias em Hamburgo,,,,,,,,,
162,Carga Geral D,2023-01-03,Los Angeles,Combustível,23016.51,Combustível em Los Angeles,,,,,,,,,
163,Carga Geral E,2023-01-03,Los Angeles,Manutenção,2098.37,Manutenção e reparos,,,,,,,,,
164,Carga Geral E,2023-01-03,Xangai,Taxas Portuárias,2990.52,Taxas portuárias em Xangai,,,,,,,,,
165,Frigorífico A,2023-01-03,Los Angeles,Combustível,26275.7,Combustível em Los Angeles,,,,,,,,,
166,Frigorífico A,2023-01-03,Los Angeles,Combustível,16011.38,Combustível em Los Angeles,,,,,,,,,
167,Frigorífico A,2023-01-03,Hamburgo,Combustível,9980.14,Combustível em Hamburgo,,,,,,,,,
168,Frigorífico B,2023-01-03,Xangai,Carregamento/Descarga,3778.0,Carregamento/descarga de 3778 m³ de Peixe a -3°C,Peixe,,-3.0,3778.0,,,,,
169,Frigorífico C,2023-01-03,Singapura,Seguros,2500.0,Seguro diário,,,,,,,,,
170,Frigorífico C,2023-01-03,Singapura,Manutenção,4491.93,Manutenção e reparos,,,,,,,,,
171,Frigorífico C,2023-01-03,Los Angeles,Combustível,20441.95,Combustível em Los Angeles,,,,,,,,,
172,Frigorífico C,2023-01-03,Xangai,Carregamento/Descarga,11198.0,Carregamento/descarga de 11198 m³ de Laticínios a -16°C,Laticínios,,-16.0,11198.0,,,,,
173,Frigorífico D,2023-01-03,Los Angeles,Taxas Portuárias,5650.95,Taxas portuárias em Los Angeles,,,,,,,,,
174,Frigorífico D,2023-01-03,Xangai,Seguros,2500.0,Seguro diário,,,,,,,,,
175,Frigorífico D,2023-01-03,Los Angeles,Manutenção,1989.01,Manutenção e reparos,,,,,,,,,
176,Frigorífico D,2023-01-03,Roterdã,Combustível,29026.75,Combustível em Roterdã,,,,,,,,,
177,Frigorífico D,2023-01-03,Los Angeles,Combustível,12885.98,Combustível em Los Angeles,,,,,,,,,
178,Frigorífico E,2023-01-03,Singapura,Carregamento/Descarga,18065.0,Carregamento/descarga de 18065 m³ de Carnes a 2°C,Carnes,,2.0,18065.0,,,,,
179,Graneleiro A,2023-01-03,Hamburgo,Combustível,29004.53,Combustível em Hamburgo,,,,,,,,,
180,Graneleiro A,2023-01-03,Singapura,Seguros,2000.0,Seguro diário,,,,,,,,,
181,Graneleiro A,2023-01-03,Roterdã,Combustível,10626.82,Combustível em Roterdã,,,,,,,,,
182,Graneleiro B,2023-01-03,Xangai,Seguros,2000.0,Seguro diário,,,,,,,,,
183,Graneleiro B,2023-01-03,Los Angeles,Combustível,25070.64,Combustível em Los Angeles,,,,,,,,,
184,Graneleiro B,2023-01-03,Xangai,Taxas Portuárias,6117.58,Taxas portuárias em Xangai,,,,,,,,,
185,Graneleiro B,2023-01-03,Xangai,Seguros,2000.0,Seguro diário,,,,,,,,,
186,Graneleiro C,2023-01-03,Los Angeles,Manutenção,3758.99,Manutenção e reparos,,,,,,,,,
187,Graneleiro C,2023-01-03,Roterdã,Seguros,2000.0,Seguro diário,,,,,,,,,
188,Graneleiro C,2023-01-03,Xangai,Manutenção,1089.6,Manutenção e reparos,,,,,,,,,
189,Graneleiro C,2023-01-03,Xangai,Seguros,2000.0,Seguro diário,,,,,,,,,
190,Graneleiro C,2023-01-03,Xangai,Carga e Descarga,228480.0,Carga e descarga de 15232 toneladas de Minério de Ferro,Minério de Ferro,,,,15232.0,,,,
191,Graneleiro D,2023-01-03,Xangai,Carga e Descarga,744090.0,Carga e descarga de 74409 toneladas de Grãos,Grãos,,,,74409.0,,,,
192,Graneleiro E,2023-01-03,Hamburgo,Seguros,2000.0,Seguro diário,,,,,,,,,
193,Graneleiro E,2023-01-03,Los Angeles,Manutenção,3563.86,Manutenção e reparos,,,,,,,,,
194,Graneleiro E,2023-01-03,Singapura,Taxas Portuárias,3044.25,Taxas portuárias em Singapura,,,,,,,,,
195,Graneleiro E,2023-01-03,Xangai,Taxas Portuárias,7029.21,Taxas portuárias em Xangai,,,,,,,,,
196,Graneleiro E,2023-01-03,Los Angeles,Carga e Descarga,378774.0,Carga e descarga de 21043 toneladas de Bauxita,Bauxita,,,,21043.0,,,,
197,Navio A,2023-01-03,Xangai,Taxas Portuárias,4206.54,Taxas portuárias em Xangai,,,,,,,,,
198,Navio A,2023-01-03,Roterdã,Seguros,1500.0,Seguro diário,,,,,,,,,
199,Navio A,2023-01-03,Los Angeles,Combustível,16911.18,Combustível em Los Angeles,,,,,,,,,
200,Navio A,2023-01-03,Hamburgo,Taxas Portuárias,4892.08,Taxas portuárias em Hamburgo,,,,,,,,,
201,Navio B,2023-01-03,Roterdã,Seguros,1500.0,Seguro diário,,,,,,,,,
202,Navio B,2023-01-03,Xangai,Combustível,15780.45,Combustível em Xangai,,,,,,,,,
203,Navio B,2023-01-03,Los Angeles,Combustível,12539.08,Combustível em Los Angeles,,,,,,,,,
204,Navio C,2023-01-03,Hamburgo,Seguros,1500.0,Seguro diário,,,,,,,,,
205,Navio C,2023-01-03,Hamburgo,Manuseio de Contêineres,71100.0,Manuseio de 1422 contêineres (20'),,,,,,1422.0,20',,
206,Navio C,2023-01-03,Los Angeles,Manuseio de Contêineres,91950.0,Manuseio de 1839 contêineres (20'),,,,,,1839.0,20',,
207,Navio C,2023-01-03,Hamburgo,Seguros,1500.0,Seguro diário,,,,,,,,,
208,Navio C,2023-01-03,Singapura,Combustível,12475.82,Combustível em Singapura,,,,,,,,,
209,Navio D,2023-01-03,Los Angeles,Taxas Portuárias,4554.38,Taxas portuárias em Los Angeles,,,,,,,,,
210,Navio D,2023-01-03,Los Angeles,Seguros,1500.0,Seguro diário,,,,,,,,,
211,Navio D,2023-01-03,Singapura,Combustível,12438.83,Combustível em Singapura,,,,,,,,,
212,Navio D,2023-01-03,Los Angeles,Seguros,1500.0,Seguro diário,,,,,,,,,
213,Navio E,2023-01-03,Los Angeles,Manuseio de Contêineres,153760.0,Manuseio de 1922 contêineres (40'),,,,,,1922.0,40',,
214,Navio E,2023-01-03,Los Angeles,Combustível,8549.28,Combustível em Los Angeles,,,,,,,,,
215,Ro-Ro A,2023-01-03,Singapura,Combustível,16240.98,Combustível em Singapura,,,,,,,,,
216,Ro-Ro A,2023-01-03,Xangai,Seguros,1800.0,Seguro diário,,,,,,,,,
217,Ro-Ro A,2023-01-03,Xangai,Seguros,1800.0,Seguro diário,,,,,,,,,
218,Ro-Ro B,2023-01-03,Singapura,Embarque e Desembarque,186600.0,Embarque e desembarque de 933 Caminhões,,,,,,,,933.0,Caminhões
219,Ro-Ro C,2023-01-03,Singapura,Combustível,15439.21,Combustível em Singapura,,,,,,,,,
220,Ro-Ro D,2023-01-03,Los Angeles,Taxas Portuárias,5362.99,Taxas portuárias em Los Angeles,,,,,,,,,
221,Ro-Ro D,2023-01-03,Xangai,Combustível,24621.25,Combustível em Xangai,,,,,,,,,
222,Ro-Ro E,2023-01-03,Singapura,Manutenção,1456.38,Manutenção e reparos,,,,,,,,,
223,Ro-Ro E,2023-01-03,Singapura,Combustível,18976.67,Combustível em Singapura,,,,,,,,,
224,Ro-Ro E,2023-01-03,Xangai,Manutenção,849.01,Manutenção e reparos,,,,,,,,,
225,Ro-Ro E,2023-01-03,Xangai,Taxas Portuárias,3590.57,Taxas portuárias em Xangai,,,,,,,,,
226,Ro-Ro E,2023-01-03,Roterdã,Taxas Portuárias,2897.28,Taxas portuárias em Roterdã,,,,,,,,,
227,Carga Geral A,2023-01-04,Xangai,Manutenção,2887.06,Manutenção e reparos,,,,,,,,,
228,Carga Geral A,2023-01-04,Singapura,Carregamento/Descarga,10321.0,Carregamento/descarga de 20642 m³ de Granéis Sólidos,Granéis Sólidos,20642.0,,,,,,,
229,Carga Geral B,2023-01-04,Hamburgo,Manutenção,4401.3,Manutenção e reparos,,,,,,,,,
230,Carga Geral B,2023-01-04,Xangai,Taxas Portuárias,2821.84,Taxas portuárias em Xangai,,,,,,,,,
231,Carga Geral B,2023-01-04,Los Angeles,Manutenção,3056.41,Manutenção e reparos,,,,,,,,,
232,Carga Geral B,2023-01-04,Singapura,Taxas Portuárias,3324.21,Taxas portuárias em Singapura,,,,,,,,,
233,Carga Geral B,2023-01-04,Hamburgo,Taxas Portuárias,5580.26,Taxas portuárias em Hamburgo,,,,,,,,,
234,Carga Geral C,2023-01-04,Xangai,Taxas Portuárias,6885.48,Taxas portuárias em Xangai,,,,,,,,,
235,Carga Geral C,2023-01-04,Roterdã,Taxas Portuárias,6443.16,Taxas portuárias em Roterdã,,,,,,,,,
236,Carga Geral C,2023-01-04,Hamburgo,Carregamento/Descarga,10838.0,Carregamento/descarga de 10838 m³ de Outros,Outros,10838.0,,,,,,,
237,Carga Geral D,2023-01-04,Roterdã,Manutenção,989.76,Manutenção e reparos,,,,,,,,,
