Nome do Navio,Data,Porto,Tipo de Custo,Valor (USD),Descrição,Tipo de Carga,Tonelagem
Graneleiro E,2023-01-03,Singapura,Taxas Portuárias,"3,044.25",Taxas portuárias em Singapura,,
Graneleiro E,2023-01-03,Xangai,Taxas Portuárias,"7,029.21",Taxas portuárias em Xangai,,
Graneleiro E,2023-01-03,Los Angeles,Carga e Descarga,"378,774.00",Carga e descarga de 21043 toneladas de Bauxita,Bauxita,21043.0
Graneleiro A,2023-01-04,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-04,Singapura,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-04,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-04,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro B,2023-01-04,Singapura,Combustível,"27,828.74",Combustível em Singapura,,
Graneleiro B,2023-01-04,Hamburgo,Combustível,"16,298.99",Combustível em Hamburgo,,
Graneleiro B,2023-01-04,Hamburgo,Carga e Descarga,"1,173,270.00",Carga e descarga de 78218 toneladas de Minério de Ferro,Minério de Ferro,78218.0
Graneleiro B,2023-01-04,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-04,Xangai,Manutenção,"1,650.55",Manutenção e reparos,,
Graneleiro C,2023-01-04,Los Angeles,Manutenção,"1,745.63",Manutenção e reparos,,
Graneleiro C,2023-01-04,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-04,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-04,Singapura,Carga e Descarga,"1,295,460.00",Carga e descarga de 64773 toneladas de Fertilizantes,Fertilizantes,64773.0
Graneleiro D,2023-01-04,Roterdã,Manutenção,"4,376.61",Manutenção e reparos,,
Graneleiro E,2023-01-04,Singapura,Manutenção,"1,572.77",Manutenção e reparos,,
Graneleiro E,2023-01-04,Singapura,Combustível,"18,710.57",Combustível em Singapura,,
Graneleiro E,2023-01-04,Singapura,Carga e Descarga,"774,850.00",Carga e descarga de 77485 toneladas de Grãos,Grãos,77485.0
Graneleiro A,2023-01-05,Roterdã,Manutenção,"2,806.23",Manutenção e reparos,,
Graneleiro A,2023-01-05,Xangai,Combustível,"20,480.62",Combustível em Xangai,,
Graneleiro A,2023-01-05,Roterdã,Combustível,"26,899.83",Combustível em Roterdã,,
Graneleiro A,2023-01-05,Los Angeles,Manutenção,"1,601.55",Manutenção e reparos,,
Graneleiro B,2023-01-05,Los Angeles,Carga e Descarga,"356,664.00",Carga e descarga de 29722 toneladas de Carvão,Carvão,29722.0
Graneleiro B,2023-01-05,Roterdã,Carga e Descarga,"624,006.00",Carga e descarga de 34667 toneladas de Bauxita,Bauxita,34667.0
Graneleiro C,2023-01-05,Los Angeles,Manutenção,"3,181.77",Manutenção e reparos,,
Graneleiro C,2023-01-05,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-05,Hamburgo,Taxas Portuárias,"7,743.65",Taxas portuárias em Hamburgo,,
Graneleiro D,2023-01-05,Roterdã,Taxas Portuárias,"5,230.43",Taxas portuárias em Roterdã,,
Graneleiro D,2023-01-05,Roterdã,Taxas Portuárias,"4,375.14",Taxas portuárias em Roterdã,,
Graneleiro D,2023-01-05,Roterdã,Combustível,"16,211.38",Combustível em Roterdã,,
Graneleiro E,2023-01-05,Roterdã,Carga e Descarga,"1,295,320.00",Carga e descarga de 64766 toneladas de Fertilizantes,Fertilizantes,64766.0
Graneleiro E,2023-01-05,Singapura,Taxas Portuárias,"5,141.29",Taxas portuárias em Singapura,,
Graneleiro E,2023-01-05,Hamburgo,Carga e Descarga,"460,815.00",Carga e descarga de 30721 toneladas de Minério de Ferro,Minério de Ferro,30721.0
Graneleiro E,2023-01-05,Los Angeles,Taxas Portuárias,"4,754.17",Taxas portuárias em Los Angeles,,
Graneleiro A,2023-01-06,Singapura,Carga e Descarga,"359,784.00",Carga e descarga de 29982 toneladas de Carvão,Carvão,29982.0
Graneleiro A,2023-01-06,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-06,Xangai,Taxas Portuárias,"6,332.68",Taxas portuárias em Xangai,,
Graneleiro A,2023-01-06,Roterdã,Taxas Portuárias,"2,374.58",Taxas portuárias em Roterdã,,
Graneleiro A,2023-01-06,Hamburgo,Taxas Portuárias,"4,088.29",Taxas portuárias em Hamburgo,,
Graneleiro B,2023-01-06,Roterdã,Carga e Descarga,"166,110.00",Carga e descarga de 16611 toneladas de Grãos,Grãos,16611.0
Graneleiro C,2023-01-06,Roterdã,Manutenção,"2,344.98",Manutenção e reparos,,
Graneleiro C,2023-01-06,Xangai,Manutenção,"4,498.44",Manutenção e reparos,,
Graneleiro D,2023-01-06,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-06,Xangai,Combustível,"22,964.94",Combustível em Xangai,,
Graneleiro E,2023-01-06,Hamburgo,Combustível,"11,754.34",Combustível em Hamburgo,,
Graneleiro E,2023-01-06,Roterdã,Manutenção,"3,659.43",Manutenção e reparos,,
Graneleiro E,2023-01-06,Roterdã,Taxas Portuárias,"3,681.05",Taxas portuárias em Roterdã,,
Graneleiro E,2023-01-06,Hamburgo,Taxas Portuárias,"4,324.97",Taxas portuárias em Hamburgo,,
Graneleiro A,2023-01-07,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-07,Singapura,Combustível,"9,697.14",Combustível em Singapura,,
Graneleiro B,2023-01-07,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro B,2023-01-07,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-07,Singapura,Manutenção,"4,824.24",Manutenção e reparos,,
Graneleiro C,2023-01-07,Singapura,Combustível,"27,299.45",Combustível em Singapura,,
Graneleiro C,2023-01-07,Singapura,Combustível,"22,909.80",Combustível em Singapura,,
Graneleiro C,2023-01-07,Xangai,Combustível,"19,281.08",Combustível em Xangai,,
Graneleiro D,2023-01-07,Los Angeles,Combustível,"20,886.97",Combustível em Los Angeles,,
Graneleiro E,2023-01-07,Hamburgo,Manutenção,"4,865.88",Manutenção e reparos,,
Graneleiro E,2023-01-07,Singapura,Manutenção,"2,400.06",Manutenção e reparos,,
Graneleiro E,2023-01-07,Singapura,Carga e Descarga,"293,360.00",Carga e descarga de 14668 toneladas de Fertilizantes,Fertilizantes,14668.0
Graneleiro E,2023-01-07,Hamburgo,Manutenção,"1,113.02",Manutenção e reparos,,
Graneleiro E,2023-01-07,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-08,Hamburgo,Manutenção,"1,437.21",Manutenção e reparos,,
Graneleiro A,2023-01-08,Los Angeles,Taxas Portuárias,"2,878.59",Taxas portuárias em Los Angeles,,
Graneleiro A,2023-01-08,Singapura,Taxas Portuárias,"3,351.93",Taxas portuárias em Singapura,,
Graneleiro B,2023-01-08,Xangai,Combustível,"23,063.85",Combustível em Xangai,,
Graneleiro C,2023-01-08,Roterdã,Taxas Portuárias,"7,742.84",Taxas portuárias em Roterdã,,
Graneleiro C,2023-01-08,Roterdã,Taxas Portuárias,"6,943.04",Taxas portuárias em Roterdã,,
Graneleiro C,2023-01-08,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-08,Xangai,Combustível,"29,066.46",Combustível em Xangai,,
Graneleiro D,2023-01-08,Los Angeles,Manutenção,"4,908.02",Manutenção e reparos,,
Graneleiro D,2023-01-08,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro D,2023-01-08,Hamburgo,Taxas Portuárias,"7,047.13",Taxas portuárias em Hamburgo,,
Graneleiro D,2023-01-08,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-08,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-08,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-08,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-08,Hamburgo,Combustível,"26,238.12",Combustível em Hamburgo,,
Graneleiro E,2023-01-08,Xangai,Manutenção,"2,244.63",Manutenção e reparos,,
Graneleiro A,2023-01-09,Xangai,Manutenção,"3,497.03",Manutenção e reparos,,
Graneleiro B,2023-01-09,Xangai,Combustível,"25,926.93",Combustível em Xangai,,
Graneleiro B,2023-01-09,Hamburgo,Combustível,"27,613.64",Combustível em Hamburgo,,
Graneleiro C,2023-01-09,Los Angeles,Manutenção,"2,252.18",Manutenção e reparos,,
Graneleiro C,2023-01-09,Xangai,Carga e Descarga,"1,078,100.00",Carga e descarga de 53905 toneladas de Fertilizantes,Fertilizantes,53905.0
Graneleiro C,2023-01-09,Roterdã,Manutenção,"3,222.84",Manutenção e reparos,,
Graneleiro D,2023-01-09,Hamburgo,Taxas Portuárias,"5,985.17",Taxas portuárias em Hamburgo,,
Graneleiro D,2023-01-09,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro D,2023-01-09,Los Angeles,Taxas Portuárias,"7,914.53",Taxas portuárias em Los Angeles,,
Graneleiro D,2023-01-09,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-09,Hamburgo,Taxas Portuárias,"2,166.47",Taxas portuárias em Hamburgo,,
Graneleiro E,2023-01-09,Hamburgo,Carga e Descarga,"1,382,184.00",Carga e descarga de 76788 toneladas de Bauxita,Bauxita,76788.0
Graneleiro E,2023-01-09,Xangai,Carga e Descarga,"172,110.00",Carga e descarga de 11474 toneladas de Minério de Ferro,Minério de Ferro,11474.0
Graneleiro A,2023-01-10,Roterdã,Taxas Portuárias,"6,375.78",Taxas portuárias em Roterdã,,
Graneleiro B,2023-01-10,Hamburgo,Combustível,"10,581.68",Combustível em Hamburgo,,
Graneleiro B,2023-01-10,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro B,2023-01-10,Hamburgo,Taxas Portuárias,"7,868.89",Taxas portuárias em Hamburgo,,
Graneleiro B,2023-01-10,Xangai,Manutenção,"3,370.91",Manutenção e reparos,,
Graneleiro B,2023-01-10,Singapura,Carga e Descarga,"711,620.00",Carga e descarga de 35581 toneladas de Fertilizantes,Fertilizantes,35581.0
Graneleiro C,2023-01-10,Los Angeles,Manutenção,"3,238.52",Manutenção e reparos,,
Graneleiro C,2023-01-10,Singapura,Manutenção,"3,380.86",Manutenção e reparos,,
Graneleiro C,2023-01-10,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-10,Roterdã,Carga e Descarga,"247,140.00",Carga e descarga de 16476 toneladas de Minério de Ferro,Minério de Ferro,16476.0
Graneleiro D,2023-01-10,Los Angeles,Taxas Portuárias,"7,348.72",Taxas portuárias em Los Angeles,,
Graneleiro D,2023-01-10,Singapura,Manutenção,"2,383.92",Manutenção e reparos,,
Graneleiro D,2023-01-10,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro D,2023-01-10,Los Angeles,Taxas Portuárias,"7,561.43",Taxas portuárias em Los Angeles,,
Graneleiro D,2023-01-10,Xangai,Combustível,"26,969.24",Combustível em Xangai,,
Graneleiro E,2023-01-10,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-10,Roterdã,Combustível,"20,649.54",Combustível em Roterdã,,
Graneleiro E,2023-01-10,Singapura,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-11,Xangai,Carga e Descarga,"982,320.00",Carga e descarga de 49116 toneladas de Fertilizantes,Fertilizantes,49116.0
Graneleiro A,2023-01-11,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro B,2023-01-11,Roterdã,Combustível,"8,632.89",Combustível em Roterdã,,
Graneleiro B,2023-01-11,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro B,2023-01-11,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro B,2023-01-11,Roterdã,Manutenção,"3,926.35",Manutenção e reparos,,
Graneleiro B,2023-01-11,Xangai,Manutenção,"3,464.25",Manutenção e reparos,,
Graneleiro C,2023-01-11,Hamburgo,Taxas Portuárias,"5,086.02",Taxas portuárias em Hamburgo,,
Graneleiro C,2023-01-11,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-11,Xangai,Combustível,"11,405.21",Combustível em Xangai,,
Graneleiro C,2023-01-11,Roterdã,Combustível,"8,185.68",Combustível em Roterdã,,
Graneleiro C,2023-01-11,Los Angeles,Carga e Descarga,"772,188.00",Carga e descarga de 64349 toneladas de Carvão,Carvão,64349.0
Graneleiro D,2023-01-11,Hamburgo,Manutenção,"3,634.02",Manutenção e reparos,,
Graneleiro D,2023-01-11,Roterdã,Taxas Portuárias,"6,926.19",Taxas portuárias em Roterdã,,
Graneleiro E,2023-01-11,Los Angeles,Manutenção,"3,742.53",Manutenção e reparos,,
Graneleiro E,2023-01-11,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-12,Hamburgo,Manutenção,"1,167.53",Manutenção e reparos,,
Graneleiro A,2023-01-12,Los Angeles,Taxas Portuárias,"6,999.66",Taxas portuárias em Los Angeles,,
Graneleiro B,2023-01-12,Singapura,Combustível,"13,842.26",Combustível em Singapura,,
Graneleiro B,2023-01-12,Hamburgo,Carga e Descarga,"767,412.00",Carga e descarga de 63951 toneladas de Carvão,Carvão,63951.0
Graneleiro C,2023-01-12,Hamburgo,Taxas Portuárias,"6,277.53",Taxas portuárias em Hamburgo,,
Graneleiro C,2023-01-12,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-12,Hamburgo,Taxas Portuárias,"2,129.50",Taxas portuárias em Hamburgo,,
Graneleiro C,2023-01-12,Singapura,Seguros,"2,000.00",Seguro diário,,
Graneleiro D,2023-01-12,Singapura,Manutenção,"2,876.33",Manutenção e reparos,,
Graneleiro D,2023-01-12,Los Angeles,Taxas Portuárias,"7,678.86",Taxas portuárias em Los Angeles,,
Graneleiro D,2023-01-12,Singapura,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-12,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-12,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-13,Roterdã,Taxas Portuárias,"6,183.99",Taxas portuárias em Roterdã,,
Graneleiro A,2023-01-13,Singapura,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-13,Hamburgo,Combustível,"15,820.22",Combustível em Hamburgo,,
Graneleiro A,2023-01-13,Roterdã,Manutenção,"4,889.34",Manutenção e reparos,,
Graneleiro A,2023-01-13,Roterdã,Carga e Descarga,"688,250.00",Carga e descarga de 68825 toneladas de Grãos,Grãos,68825.0
Graneleiro B,2023-01-13,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro B,2023-01-13,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro B,2023-01-13,Roterdã,Taxas Portuárias,"5,356.70",Taxas portuárias em Roterdã,,
Graneleiro B,2023-01-13,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-13,Los Angeles,Carga e Descarga,"526,600.00",Carga e descarga de 26330 toneladas de Fertilizantes,Fertilizantes,26330.0
Graneleiro D,2023-01-13,Xangai,Taxas Portuárias,"4,055.91",Taxas portuárias em Xangai,,
Graneleiro E,2023-01-13,Xangai,Taxas Portuárias,"5,741.85",Taxas portuárias em Xangai,,
Graneleiro A,2023-01-14,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-14,Los Angeles,Carga e Descarga,"317,466.00",Carga e descarga de 17637 toneladas de Bauxita,Bauxita,17637.0
Graneleiro A,2023-01-14,Singapura,Taxas Portuárias,"3,940.69",Taxas portuárias em Singapura,,
Graneleiro B,2023-01-14,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro B,2023-01-14,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro B,2023-01-14,Singapura,Manutenção,"4,348.39",Manutenção e reparos,,
Graneleiro C,2023-01-14,Singapura,Manutenção,"3,203.20",Manutenção e reparos,,
Graneleiro C,2023-01-14,Xangai,Combustível,"23,493.42",Combustível em Xangai,,
Graneleiro C,2023-01-14,Los Angeles,Carga e Descarga,"752,970.00",Carga e descarga de 75297 toneladas de Grãos,Grãos,75297.0
Graneleiro D,2023-01-14,Singapura,Carga e Descarga,"647,450.00",Carga e descarga de 64745 toneladas de Grãos,Grãos,64745.0
Graneleiro D,2023-01-14,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro D,2023-01-14,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro D,2023-01-14,Roterdã,Taxas Portuárias,"2,243.82",Taxas portuárias em Roterdã,,
Graneleiro D,2023-01-14,Hamburgo,Carga e Descarga,"796,920.00",Carga e descarga de 39846 toneladas de Fertilizantes,Fertilizantes,39846.0
Graneleiro E,2023-01-14,Los Angeles,Taxas Portuárias,"5,977.06",Taxas portuárias em Los Angeles,,
Graneleiro E,2023-01-14,Hamburgo,Combustível,"24,601.44",Combustível em Hamburgo,,
Graneleiro E,2023-01-14,Roterdã,Manutenção,"3,286.67",Manutenção e reparos,,
Graneleiro E,2023-01-14,Singapura,Carga e Descarga,"844,272.00",Carga e descarga de 46904 toneladas de Bauxita,Bauxita,46904.0
Graneleiro A,2023-01-15,Hamburgo,Combustível,"17,698.63",Combustível em Hamburgo,,
Graneleiro A,2023-01-15,Xangai,Manutenção,"4,112.69",Manutenção e reparos,,
Graneleiro B,2023-01-15,Xangai,Taxas Portuárias,"2,893.14",Taxas portuárias em Xangai,,
Graneleiro B,2023-01-15,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-15,Roterdã,Taxas Portuárias,"6,577.32",Taxas portuárias em Roterdã,,
Graneleiro C,2023-01-15,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-15,Los Angeles,Manutenção,"3,966.67",Manutenção e reparos,,
Graneleiro C,2023-01-15,Singapura,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-15,Roterdã,Manutenção,"3,453.20",Manutenção e reparos,,
Graneleiro D,2023-01-15,Roterdã,Carga e Descarga,"558,915.00",Carga e descarga de 37261 toneladas de Minério de Ferro,Minério de Ferro,37261.0
Graneleiro D,2023-01-15,Xangai,Taxas Portuárias,"6,296.49",Taxas portuárias em Xangai,,
Graneleiro D,2023-01-15,Singapura,Taxas Portuárias,"7,452.27",Taxas portuárias em Singapura,,
Graneleiro E,2023-01-15,Los Angeles,Carga e Descarga,"694,896.00",Carga e descarga de 57908 toneladas de Carvão,Carvão,57908.0
Graneleiro E,2023-01-15,Los Angeles,Taxas Portuárias,"3,039.38",Taxas portuárias em Los Angeles,,
Graneleiro A,2023-01-16,Singapura,Taxas Portuárias,"4,454.40",Taxas portuárias em Singapura,,
Graneleiro A,2023-01-16,Los Angeles,Taxas Portuárias,"7,754.23",Taxas portuárias em Los Angeles,,
Graneleiro B,2023-01-16,Los Angeles,Manutenção,"1,607.30",Manutenção e reparos,,
Graneleiro B,2023-01-16,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro B,2023-01-16,Singapura,Manutenção,"4,886.24",Manutenção e reparos,,
Graneleiro C,2023-01-16,Xangai,Manutenção,"4,272.07",Manutenção e reparos,,
Graneleiro C,2023-01-16,Hamburgo,Combustível,"18,626.68",Combustível em Hamburgo,,
Graneleiro C,2023-01-16,Hamburgo,Manutenção,"2,478.39",Manutenção e reparos,,
Graneleiro C,2023-01-16,Hamburgo,Manutenção,"2,505.66",Manutenção e reparos,,
Graneleiro D,2023-01-16,Hamburgo,Carga e Descarga,"350,028.00",Carga e descarga de 19446 toneladas de Bauxita,Bauxita,19446.0
Graneleiro D,2023-01-16,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro D,2023-01-16,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-16,Roterdã,Carga e Descarga,"226,190.00",Carga e descarga de 22619 toneladas de Grãos,Grãos,22619.0
Graneleiro E,2023-01-16,Xangai,Carga e Descarga,"363,204.00",Carga e descarga de 20178 toneladas de Bauxita,Bauxita,20178.0
Graneleiro E,2023-01-16,Los Angeles,Manutenção,"4,781.60",Manutenção e reparos,,
Graneleiro E,2023-01-16,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-16,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-17,Hamburgo,Carga e Descarga,"333,430.00",Carga e descarga de 33343 toneladas de Grãos,Grãos,33343.0
Graneleiro A,2023-01-17,Los Angeles,Taxas Portuárias,"7,055.21",Taxas portuárias em Los Angeles,,
Graneleiro A,2023-01-17,Hamburgo,Manutenção,"4,233.82",Manutenção e reparos,,
Graneleiro B,2023-01-17,Singapura,Taxas Portuárias,"6,932.60",Taxas portuárias em Singapura,,
Graneleiro B,2023-01-17,Los Angeles,Manutenção,"3,734.66",Manutenção e reparos,,
Graneleiro C,2023-01-17,Singapura,Combustível,"13,204.02",Combustível em Singapura,,
Graneleiro C,2023-01-17,Hamburgo,Manutenção,"2,393.36",Manutenção e reparos,,
Graneleiro C,2023-01-17,Roterdã,Carga e Descarga,"801,450.00",Carga e descarga de 53430 toneladas de Minério de Ferro,Minério de Ferro,53430.0
Graneleiro C,2023-01-17,Roterdã,Combustível,"21,241.60",Combustível em Roterdã,,
Graneleiro C,2023-01-17,Los Angeles,Combustível,"25,642.87",Combustível em Los Angeles,,
Graneleiro D,2023-01-17,Roterdã,Combustível,"26,286.14",Combustível em Roterdã,,
Graneleiro D,2023-01-17,Hamburgo,Combustível,"20,152.71",Combustível em Hamburgo,,
Graneleiro D,2023-01-17,Hamburgo,Manutenção,"2,776.42",Manutenção e reparos,,
