id_log,Nome do Navio,Data,Porto,Tipo de Custo,Valor (USD),Descrição,Tipo de Carga,Volume,Temperatura,Tonelagem,Número de Contêineres,Tipo de Contêineres,Número de Veículos,Tipo de Veículos,ID do Navio
470,Carga Geral B,2023-01-07,Los Angeles,Carregamento/Descarga,"58,476.00",Carregamento/descarga de 38984 m³ de Veículos,Veículos,38984.0,,,,,,,2
471,Carga Geral B,2023-01-07,Hamburgo,Carregamento/Descarga,"39,970.00",Carregamento/descarga de 39970 m³ de Outros,Outros,39970.0,,,,,,,2
472,Carga Geral B,2023-01-07,Hamburgo,Combustível,"7,219.58",Combustível em Hamburgo,,,,,,,,,2
540,Carga Geral B,2023-01-08,Hamburgo,Taxas Portuárias,"4,571.89",Taxas portuárias em Hamburgo,,,,,,,,,2
541,Carga Geral B,2023-01-08,Xangai,Combustível,"23,847.82",Combustível em Xangai,,,,,,,,,2
542,Carga Geral B,2023-01-08,Roterdã,Seguros,"1,900.00",Seguro diário,,,,,,,,,2
543,Carga Geral B,2023-01-08,Hamburgo,Carregamento/Descarga,"11,644.00",Carregamento/descarga de 14555 m³ de Carga Solta,Carga Solta,14555.0,,,,,,,2
615,Carga Geral B,2023-01-09,Los Angeles,Taxas Portuárias,"4,379.17",Taxas portuárias em Los Angeles,,,,,,,,,2
616,Carga Geral B,2023-01-09,Xangai,Carregamento/Descarga,"35,596.80",Carregamento/descarga de 44496 m³ de Carga Solta,Carga Solta,44496.0,,,,,,,2
689,Carga Geral B,2023-01-10,Los Angeles,Combustível,"22,763.92",Combustível em Los Angeles,,,,,,,,,2
690,Carga Geral B,2023-01-10,Los Angeles,Manutenção,"2,499.14",Manutenção e reparos,,,,,,,,,2
769,Carga Geral B,2023-01-11,Roterdã,Taxas Portuárias,"4,823.10",Taxas portuárias em Roterdã,,,,,,,,,2
770,Carga Geral B,2023-01-11,Singapura,Manutenção,940.71,Manutenção e reparos,,,,,,,,,2
833,Carga Geral B,2023-01-12,Los Angeles,Carregamento/Descarga,"8,967.00",Carregamento/descarga de 17934 m³ de Granéis Sólidos,Granéis Sólidos,17934.0,,,,,,,2
834,Carga Geral B,2023-01-12,Roterdã,Manutenção,"3,753.65",Manutenção e reparos,,,,,,,,,2
835,Carga Geral B,2023-01-12,Singapura,Manutenção,"1,058.55",Manutenção e reparos,,,,,,,,,2
898,Carga Geral B,2023-01-13,Xangai,Carregamento/Descarga,"11,548.80",Carregamento/descarga de 9624 m³ de Contêineres,Contêineres,9624.0,,,,,,,2
899,Carga Geral B,2023-01-13,Los Angeles,Taxas Portuárias,"3,317.01",Taxas portuárias em Los Angeles,,,,,,,,,2
900,Carga Geral B,2023-01-13,Roterdã,Taxas Portuárias,"6,788.05",Taxas portuárias em Roterdã,,,,,,,,,2
979,Carga Geral B,2023-01-14,Hamburgo,Manutenção,"2,538.80",Manutenção e reparos,,,,,,,,,2
980,Carga Geral B,2023-01-14,Hamburgo,Carregamento/Descarga,"9,377.00",Carregamento/descarga de 9377 m³ de Outros,Outros,9377.0,,,,,,,2
981,Carga Geral B,2023-01-14,Los Angeles,Combustível,"20,222.17",Combustível em Los Angeles,,,,,,,,,2
982,Carga Geral B,2023-01-14,Xangai,Taxas Portuárias,"6,312.08",Taxas portuárias em Xangai,,,,,,,,,2
1063,Carga Geral B,2023-01-15,Singapura,Manutenção,"2,721.55",Manutenção e reparos,,,,,,,,,2
1127,Carga Geral B,2023-01-16,Roterdã,Seguros,"1,900.00",Seguro diário,,,,,,,,,2
1203,Carga Geral B,2023-01-17,Los Angeles,Combustível,"21,420.95",Combustível em Los Angeles,,,,,,,,,2
1204,Carga Geral B,2023-01-17,Roterdã,Taxas Portuárias,"3,182.27",Taxas portuárias em Roterdã,,,,,,,,,2
1205,Carga Geral B,2023-01-17,Hamburgo,Combustível,"16,152.79",Combustível em Hamburgo,,,,,,,,,2
1206,Carga Geral B,2023-01-17,Los Angeles,Seguros,"1,900.00",Seguro diário,,,,,,,,,2
1207,Carga Geral B,2023-01-17,Xangai,Combustível,"18,712.32",Combustível em Xangai,,,,,,,,,2
1280,Carga Geral B,2023-01-18,Singapura,Carregamento/Descarga,"42,001.20",Carregamento/descarga de 35001 m³ de Contêineres,Contêineres,35001.0,,,,,,,2
1362,Carga Geral B,2023-01-19,Hamburgo,Carregamento/Descarga,"32,415.20",Carregamento/descarga de 40519 m³ de Carga Solta,Carga Solta,40519.0,,,,,,,2
1363,Carga Geral B,2023-01-19,Singapura,Manutenção,"3,211.57",Manutenção e reparos,,,,,,,,,2
1364,Carga Geral B,2023-01-19,Roterdã,Seguros,"1,900.00",Seguro diário,,,,,,,,,2
1365,Carga Geral B,2023-01-19,Los Angeles,Seguros,"1,900.00",Seguro diário,,,,,,,,,2
1446,Carga Geral B,2023-01-20,Singapura,Carregamento/Descarga,"33,059.20",Carregamento/descarga de 41324 m³ de Carga Solta,Carga Solta,41324.0,,,,,,,2
1447,Carga Geral B,2023-01-20,Los Angeles,Combustível,"24,145.34",Combustível em Los Angeles,,,,,,,,,2
1448,Carga Geral B,2023-01-20,Los Angeles,Combustível,"20,135.93",Combustível em Los Angeles,,,,,,,,,2
1518,Carga Geral B,2023-01-21,Los Angeles,Manutenção,"2,760.52",Manutenção e reparos,,,,,,,,,2
1587,Carga Geral B,2023-01-22,Xangai,Carregamento/Descarga,"19,551.00",Carregamento/descarga de 19551 m³ de Outros,Outros,19551.0,,,,,,,2
1588,Carga Geral B,2023-01-22,Los Angeles,Manutenção,"3,563.73",Manutenção e reparos,,,,,,,,,2
1589,Carga Geral B,2023-01-22,Xangai,Combustível,"25,928.01",Combustível em Xangai,,,,,,,,,2
1590,Carga Geral B,2023-01-22,Hamburgo,Taxas Portuárias,"3,628.03",Taxas portuárias em Hamburgo,,,,,,,,,2
1591,Carga Geral B,2023-01-22,Roterdã,Taxas Portuárias,"5,698.98",Taxas portuárias em Roterdã,,,,,,,,,2
1656,Carga Geral B,2023-01-23,Hamburgo,Seguros,"1,900.00",Seguro diário,,,,,,,,,2
1657,Carga Geral B,2023-01-23,Xangai,Taxas Portuárias,"2,099.32",Taxas portuárias em Xangai,,,,,,,,,2
1728,Carga Geral B,2023-01-24,Xangai,Taxas Portuárias,"5,268.48",Taxas portuárias em Xangai,,,,,,,,,2
1729,Carga Geral B,2023-01-24,Hamburgo,Combustível,"22,482.18",Combustível em Hamburgo,,,,,,,,,2
1730,Carga Geral B,2023-01-24,Roterdã,Seguros,"1,900.00",Seguro diário,,,,,,,,,2
1796,Carga Geral B,2023-01-25,Hamburgo,Seguros,"1,900.00",Seguro diário,,,,,,,,,2
1797,Carga Geral B,2023-01-25,Roterdã,Combustível,"26,392.06",Combustível em Roterdã,,,,,,,,,2
1798,Carga Geral B,2023-01-25,Hamburgo,Manutenção,"3,856.42",Manutenção e reparos,,,,,,,,,2
1799,Carga Geral B,2023-01-25,Roterdã,Taxas Portuárias,"3,997.05",Taxas portuárias em Roterdã,,,,,,,,,2
1800,Carga Geral B,2023-01-25,Xangai,Manutenção,"1,235.14",Manutenção e reparos,,,,,,,,,2
1873,Carga Geral B,2023-01-26,Xangai,Carregamento/Descarga,"3,349.00",Carregamento/descarga de 6698 m³ de Granéis Sólidos,Granéis Sólidos,6698.0,,,,,,,2
1940,Carga Geral B,2023-01-27,Hamburgo,Taxas Portuárias,"5,105.11",Taxas portuárias em Hamburgo,,,,,,,,,2
1941,Carga Geral B,2023-01-27,Los Angeles,Combustível,"26,279.68",Combustível em Los Angeles,,,,,,,,,2
1942,Carga Geral B,2023-01-27,Hamburgo,Combustível,"17,433.38",Combustível em Hamburgo,,,,,,,,,2
1943,Carga Geral B,2023-01-27,Hamburgo,Combustível,"21,005.09",Combustível em Hamburgo,,,,,,,,,2
2017,Carga Geral B,2023-01-28,Roterdã,Manutenção,"2,198.13",Manutenção e reparos,,,,,,,,,2
2018,Carga Geral B,2023-01-28,Roterdã,Combustível,"20,283.20",Combustível em Roterdã,,,,,,,,,2
2019,Carga Geral B,2023-01-28,Xangai,Carregamento/Descarga,"22,796.00",Carregamento/descarga de 45592 m³ de Granéis Sólidos,Granéis Sólidos,45592.0,,,,,,,2
2020,Carga Geral B,2023-01-28,Singapura,Seguros,"1,900.00",Seguro diário,,,,,,,,,2
2021,Carga Geral B,2023-01-28,Hamburgo,Carregamento/Descarga,"43,448.40",Carregamento/descarga de 36207 m³ de Contêineres,Contêineres,36207.0,,,,,,,2
2102,Carga Geral B,2023-01-29,Hamburgo,Manutenção,"4,452.55",Manutenção e reparos,,,,,,,,,2
2103,Carga Geral B,2023-01-29,Hamburgo,Taxas Portuárias,"3,918.03",Taxas portuárias em Hamburgo,,,,,,,,,2
2104,Carga Geral B,2023-01-29,Singapura,Combustível,"12,196.97",Combustível em Singapura,,,,,,,,,2
2180,Carga Geral B,2023-01-30,Los Angeles,Taxas Portuárias,"4,179.73",Taxas portuárias em Los Angeles,,,,,,,,,2
7,Carga Geral C,2023-01-01,Roterdã,Taxas Portuárias,"2,647.09",Taxas portuárias em Roterdã,,,,,,,,,3
8,Carga Geral C,2023-01-01,Roterdã,Combustível,"23,183.31",Combustível em Roterdã,,,,,,,,,3
9,Carga Geral C,2023-01-01,Roterdã,Combustível,"15,515.36",Combustível em Roterdã,,,,,,,,,3
10,Carga Geral C,2023-01-01,Los Angeles,Seguros,"1,900.00",Seguro diário,,,,,,,,,3
11,Carga Geral C,2023-01-01,Hamburgo,Manutenção,"3,918.61",Manutenção e reparos,,,,,,,,,3
76,Carga Geral C,2023-01-02,Los Angeles,Combustível,"16,297.29",Combustível em Los Angeles,,,,,,,,,3
154,Carga Geral C,2023-01-03,Roterdã,Taxas Portuárias,"6,875.25",Taxas portuárias em Roterdã,,,,,,,,,3
155,Carga Geral C,2023-01-03,Hamburgo,Taxas Portuárias,"6,971.67",Taxas portuárias em Hamburgo,,,,,,,,,3
156,Carga Geral C,2023-01-03,Xangai,Taxas Portuárias,"3,383.01",Taxas portuárias em Xangai,,,,,,,,,3
157,Carga Geral C,2023-01-03,Hamburgo,Manutenção,"4,383.43",Manutenção e reparos,,,,,,,,,3
158,Carga Geral C,2023-01-03,Los Angeles,Seguros,"1,900.00",Seguro diário,,,,,,,,,3
234,Carga Geral C,2023-01-04,Xangai,Taxas Portuárias,"6,885.48",Taxas portuárias em Xangai,,,,,,,,,3
235,Carga Geral C,2023-01-04,Roterdã,Taxas Portuárias,"6,443.16",Taxas portuárias em Roterdã,,,,,,,,,3
236,Carga Geral C,2023-01-04,Hamburgo,Carregamento/Descarga,"10,838.00",Carregamento/descarga de 10838 m³ de Outros,Outros,10838.0,,,,,,,3
323,Carga Geral C,2023-01-05,Xangai,Combustível,"15,513.97",Combustível em Xangai,,,,,,,,,3
324,Carga Geral C,2023-01-05,Xangai,Carregamento/Descarga,"17,284.00",Carregamento/descarga de 34568 m³ de Granéis Sólidos,Granéis Sólidos,34568.0,,,,,,,3
325,Carga Geral C,2023-01-05,Singapura,Taxas Portuárias,"3,910.41",Taxas portuárias em Singapura,,,,,,,,,3
401,Carga Geral C,2023-01-06,Singapura,Taxas Portuárias,"3,205.36",Taxas portuárias em Singapura,,,,,,,,,3
402,Carga Geral C,2023-01-06,Roterdã,Combustível,"17,770.73",Combustível em Roterdã,,,,,,,,,3
403,Carga Geral C,2023-01-06,Singapura,Manutenção,"1,769.63",Manutenção e reparos,,,,,,,,,3
404,Carga Geral C,2023-01-06,Singapura,Carregamento/Descarga,"20,656.50",Carregamento/descarga de 13771 m³ de Veículos,Veículos,13771.0,,,,,,,3
405,Carga Geral C,2023-01-06,Xangai,Carregamento/Descarga,"7,285.50",Carregamento/descarga de 14571 m³ de Granéis Sólidos,Granéis Sólidos,14571.0,,,,,,,3
473,Carga Geral C,2023-01-07,Roterdã,Manutenção,"4,311.60",Manutenção e reparos,,,,,,,,,3
474,Carga Geral C,2023-01-07,Los Angeles,Taxas Portuárias,"6,821.48",Taxas portuárias em Los Angeles,,,,,,,,,3
475,Carga Geral C,2023-01-07,Hamburgo,Seguros,"1,900.00",Seguro diário,,,,,,,,,3
476,Carga Geral C,2023-01-07,Roterdã,Carregamento/Descarga,"27,732.00",Carregamento/descarga de 27732 m³ de Outros,Outros,27732.0,,,,,,,3
544,Carga Geral C,2023-01-08,Singapura,Combustível,"27,413.93",Combustível em Singapura,,,,,,,,,3
545,Carga Geral C,2023-01-08,Singapura,Carregamento/Descarga,"42,781.50",Carregamento/descarga de 28521 m³ de Veículos,Veículos,28521.0,,,,,,,3
617,Carga Geral C,2023-01-09,Roterdã,Seguros,"1,900.00",Seguro diário,,,,,,,,,3
691,Carga Geral C,2023-01-10,Hamburgo,Carregamento/Descarga,"21,851.20",Carregamento/descarga de 27314 m³ de Carga Solta,Carga Solta,27314.0,,,,,,,3
692,Carga Geral C,2023-01-10,Singapura,Carregamento/Descarga,"9,199.00",Carregamento/descarga de 18398 m³ de Granéis Sólidos,Granéis Sólidos,18398.0,,,,,,,3
693,Carga Geral C,2023-01-10,Xangai,Combustível,"19,891.61",Combustível em Xangai,,,,,,,,,3
694,Carga Geral C,2023-01-10,Roterdã,Taxas Portuárias,"6,834.13",Taxas portuárias em Roterdã,,,,,,,,,3
695,Carga Geral C,2023-01-10,Singapura,Manutenção,"1,761.76",Manutenção e reparos,,,,,,,,,3
771,Carga Geral C,2023-01-11,Xangai,Seguros,"1,900.00",Seguro diário,,,,,,,,,3
772,Carga Geral C,2023-01-11,Hamburgo,Taxas Portuárias,"4,870.70",Taxas portuárias em Hamburgo,,,,,,,,,3
773,Carga Geral C,2023-01-11,Xangai,Taxas Portuárias,"4,139.74",Taxas portuárias em Xangai,,,,,,,,,3
774,Carga Geral C,2023-01-11,Hamburgo,Combustível,"10,031.80",Combustível em Hamburgo,,,,,,,,,3
775,Carga Geral C,2023-01-11,Hamburgo,Combustível,"8,134.51",Combustível em Hamburgo,,,,,,,,,3
836,Carga Geral C,2023-01-12,Xangai,Manutenção,"1,659.47",Manutenção e reparos,,,,,,,,,3
837,Carga Geral C,2023-01-12,Xangai,Taxas Portuárias,"2,151.80",Taxas portuárias em Xangai,,,,,,,,,3
838,Carga Geral C,2023-01-12,Hamburgo,Seguros,"1,900.00",Seguro diário,,,,,,,,,3
839,Carga Geral C,2023-01-12,Los Angeles,Manutenção,"3,319.38",Manutenção e reparos,,,,,,,,,3
901,Carga Geral C,2023-01-13,Los Angeles,Taxas Portuárias,"2,987.02",Taxas portuárias em Los Angeles,,,,,,,,,3
