Nome do Navio,Data,Porto,Tipo de Custo,Valor (USD),Descrição,Número de Veículos,Tipo de Veículos
Ro-Ro A,2023-01-06,Los Angeles,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-06,Hamburgo,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-06,Singapura,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-06,Xangai,Combustível,"13,395.70",Combustível em Xangai,,
Ro-Ro A,2023-01-06,Roterdã,Seguros,"1,800.00",Seguro diário,,
Ro-Ro B,2023-01-06,Singapura,Seguros,"1,800.00",Seguro diário,,
Ro-Ro B,2023-01-06,Singapura,Combustível,"8,268.81",Combustível em Singapura,,
Ro-Ro B,2023-01-06,Hamburgo,Seguros,"1,800.00",Seguro diário,,
Ro-Ro C,2023-01-06,Hamburgo,Manutenção,"3,334.85",Manutenção e reparos,,
Ro-Ro D,2023-01-06,Xangai,Combustível,"8,382.19",Combustível em Xangai,,
Ro-Ro E,2023-01-06,Roterdã,Taxas Portuárias,"3,780.99",Taxas portuárias em Roterdã,,
Ro-Ro E,2023-01-06,Hamburgo,Manutenção,"1,087.78",Manutenção e reparos,,
Ro-Ro E,2023-01-06,Singapura,Manutenção,"2,492.32",Manutenção e reparos,,
Ro-Ro E,2023-01-06,Roterdã,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-07,Xangai,Combustível,"13,616.67",Combustível em Xangai,,
Ro-Ro A,2023-01-07,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-07,Los Angeles,Embarque e Desembarque,"14,160.00",Embarque e desembarque de 177 Carros,177.0,Carros
Ro-Ro B,2023-01-07,Xangai,Embarque e Desembarque,"111,400.00",Embarque e desembarque de 557 Caminhões,557.0,Caminhões
Ro-Ro B,2023-01-07,Los Angeles,Manutenção,"3,031.12",Manutenção e reparos,,
Ro-Ro B,2023-01-07,Xangai,Taxas Portuárias,"2,575.55",Taxas portuárias em Xangai,,
Ro-Ro B,2023-01-07,Singapura,Embarque e Desembarque,"55,120.00",Embarque e desembarque de 689 Carros,689.0,Carros
Ro-Ro C,2023-01-07,Los Angeles,Manutenção,"3,239.59",Manutenção e reparos,,
Ro-Ro C,2023-01-07,Roterdã,Manutenção,"2,366.05",Manutenção e reparos,,
Ro-Ro D,2023-01-07,Los Angeles,Embarque e Desembarque,"29,840.00",Embarque e desembarque de 373 Carros,373.0,Carros
Ro-Ro D,2023-01-07,Singapura,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-07,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-07,Hamburgo,Manutenção,"2,724.83",Manutenção e reparos,,
Ro-Ro E,2023-01-07,Los Angeles,Manutenção,"2,740.54",Manutenção e reparos,,
Ro-Ro E,2023-01-07,Xangai,Embarque e Desembarque,"62,760.00",Embarque e desembarque de 523 Outros,523.0,Outros
Ro-Ro E,2023-01-07,Los Angeles,Embarque e Desembarque,"174,800.00",Embarque e desembarque de 874 Caminhões,874.0,Caminhões
Ro-Ro A,2023-01-08,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-08,Roterdã,Combustível,"8,317.30",Combustível em Roterdã,,
Ro-Ro B,2023-01-08,Los Angeles,Taxas Portuárias,"2,671.09",Taxas portuárias em Los Angeles,,
Ro-Ro B,2023-01-08,Xangai,Combustível,"22,422.56",Combustível em Xangai,,
Ro-Ro B,2023-01-08,Hamburgo,Manutenção,"2,160.63",Manutenção e reparos,,
Ro-Ro B,2023-01-08,Singapura,Embarque e Desembarque,"79,200.00",Embarque e desembarque de 990 Carros,990.0,Carros
Ro-Ro B,2023-01-08,Roterdã,Combustível,"16,994.43",Combustível em Roterdã,,
Ro-Ro C,2023-01-08,Singapura,Manutenção,"1,748.46",Manutenção e reparos,,
Ro-Ro C,2023-01-08,Hamburgo,Combustível,"13,419.66",Combustível em Hamburgo,,
Ro-Ro C,2023-01-08,Roterdã,Taxas Portuárias,"4,592.66",Taxas portuárias em Roterdã,,
Ro-Ro D,2023-01-08,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-08,Xangai,Combustível,"10,239.45",Combustível em Xangai,,
Ro-Ro D,2023-01-08,Los Angeles,Combustível,"13,566.17",Combustível em Los Angeles,,
Ro-Ro D,2023-01-08,Singapura,Taxas Portuárias,"1,554.75",Taxas portuárias em Singapura,,
Ro-Ro D,2023-01-08,Hamburgo,Manutenção,"2,803.62",Manutenção e reparos,,
Ro-Ro E,2023-01-08,Xangai,Embarque e Desembarque,"102,800.00",Embarque e desembarque de 514 Caminhões,514.0,Caminhões
Ro-Ro E,2023-01-08,Xangai,Combustível,"7,635.39",Combustível em Xangai,,
Ro-Ro E,2023-01-08,Roterdã,Taxas Portuárias,"3,371.10",Taxas portuárias em Roterdã,,
Ro-Ro E,2023-01-08,Los Angeles,Manutenção,"3,021.29",Manutenção e reparos,,
Ro-Ro A,2023-01-09,Roterdã,Embarque e Desembarque,"40,000.00",Embarque e desembarque de 200 Caminhões,200.0,Caminhões
Ro-Ro B,2023-01-09,Los Angeles,Combustível,"7,837.19",Combustível em Los Angeles,,
Ro-Ro B,2023-01-09,Roterdã,Manutenção,"1,875.69",Manutenção e reparos,,
Ro-Ro C,2023-01-09,Xangai,Manutenção,"1,744.71",Manutenção e reparos,,
Ro-Ro C,2023-01-09,Xangai,Combustível,"12,207.23",Combustível em Xangai,,
Ro-Ro C,2023-01-09,Roterdã,Taxas Portuárias,"5,241.02",Taxas portuárias em Roterdã,,
Ro-Ro C,2023-01-09,Xangai,Manutenção,"2,274.95",Manutenção e reparos,,
Ro-Ro C,2023-01-09,Singapura,Embarque e Desembarque,"30,800.00",Embarque e desembarque de 385 Carros,385.0,Carros
Ro-Ro D,2023-01-09,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-09,Roterdã,Taxas Portuárias,"1,940.70",Taxas portuárias em Roterdã,,
Ro-Ro E,2023-01-09,Singapura,Seguros,"1,800.00",Seguro diário,,
Ro-Ro E,2023-01-09,Xangai,Manutenção,"2,992.03",Manutenção e reparos,,
Ro-Ro E,2023-01-09,Los Angeles,Taxas Portuárias,"4,324.32",Taxas portuárias em Los Angeles,,
Ro-Ro A,2023-01-10,Hamburgo,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-10,Los Angeles,Taxas Portuárias,"5,041.52",Taxas portuárias em Los Angeles,,
Ro-Ro A,2023-01-10,Roterdã,Manutenção,"3,437.23",Manutenção e reparos,,
Ro-Ro A,2023-01-10,Los Angeles,Manutenção,"2,125.67",Manutenção e reparos,,
Ro-Ro B,2023-01-10,Los Angeles,Seguros,"1,800.00",Seguro diário,,
Ro-Ro C,2023-01-10,Los Angeles,Combustível,"19,228.52",Combustível em Los Angeles,,
Ro-Ro C,2023-01-10,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-10,Los Angeles,Combustível,"19,885.37",Combustível em Los Angeles,,
Ro-Ro D,2023-01-10,Hamburgo,Combustível,"10,850.82",Combustível em Hamburgo,,
Ro-Ro D,2023-01-10,Roterdã,Taxas Portuárias,"4,629.58",Taxas portuárias em Roterdã,,
Ro-Ro D,2023-01-10,Singapura,Manutenção,"1,193.93",Manutenção e reparos,,
Ro-Ro D,2023-01-10,Singapura,Embarque e Desembarque,"75,800.00",Embarque e desembarque de 379 Caminhões,379.0,Caminhões
Ro-Ro E,2023-01-10,Singapura,Embarque e Desembarque,"24,560.00",Embarque e desembarque de 307 Carros,307.0,Carros
Ro-Ro E,2023-01-10,Singapura,Seguros,"1,800.00",Seguro diário,,
Ro-Ro E,2023-01-10,Roterdã,Embarque e Desembarque,"52,000.00",Embarque e desembarque de 260 Caminhões,260.0,Caminhões
Ro-Ro E,2023-01-10,Roterdã,Manutenção,"3,324.27",Manutenção e reparos,,
Ro-Ro A,2023-01-11,Los Angeles,Combustível,"18,768.85",Combustível em Los Angeles,,
Ro-Ro B,2023-01-11,Los Angeles,Seguros,"1,800.00",Seguro diário,,
Ro-Ro B,2023-01-11,Roterdã,Combustível,"19,870.03",Combustível em Roterdã,,
Ro-Ro B,2023-01-11,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro B,2023-01-11,Roterdã,Embarque e Desembarque,"117,960.00",Embarque e desembarque de 983 Outros,983.0,Outros
Ro-Ro C,2023-01-11,Singapura,Manutenção,"3,106.38",Manutenção e reparos,,
Ro-Ro D,2023-01-11,Xangai,Manutenção,"1,775.15",Manutenção e reparos,,
Ro-Ro D,2023-01-11,Singapura,Combustível,"17,287.48",Combustível em Singapura,,
Ro-Ro D,2023-01-11,Singapura,Taxas Portuárias,"2,280.40",Taxas portuárias em Singapura,,
Ro-Ro D,2023-01-11,Singapura,Manutenção,"3,966.84",Manutenção e reparos,,
Ro-Ro D,2023-01-11,Xangai,Manutenção,"1,687.45",Manutenção e reparos,,
Ro-Ro E,2023-01-11,Singapura,Combustível,"17,310.14",Combustível em Singapura,,
Ro-Ro A,2023-01-12,Roterdã,Taxas Portuárias,"3,278.01",Taxas portuárias em Roterdã,,
Ro-Ro A,2023-01-12,Roterdã,Embarque e Desembarque,"50,640.00",Embarque e desembarque de 633 Carros,633.0,Carros
Ro-Ro B,2023-01-12,Los Angeles,Manutenção,"1,937.04",Manutenção e reparos,,
Ro-Ro B,2023-01-12,Roterdã,Seguros,"1,800.00",Seguro diário,,
Ro-Ro C,2023-01-12,Roterdã,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-12,Roterdã,Taxas Portuárias,"2,569.95",Taxas portuárias em Roterdã,,
Ro-Ro D,2023-01-12,Singapura,Embarque e Desembarque,"115,680.00",Embarque e desembarque de 964 Outros,964.0,Outros
Ro-Ro D,2023-01-12,Roterdã,Embarque e Desembarque,"82,800.00",Embarque e desembarque de 414 Caminhões,414.0,Caminhões
Ro-Ro E,2023-01-12,Hamburgo,Seguros,"1,800.00",Seguro diário,,
Ro-Ro E,2023-01-12,Hamburgo,Manutenção,"1,490.57",Manutenção e reparos,,
Ro-Ro E,2023-01-12,Singapura,Taxas Portuárias,"2,317.73",Taxas portuárias em Singapura,,
Ro-Ro A,2023-01-13,Xangai,Embarque e Desembarque,"24,600.00",Embarque e desembarque de 123 Caminhões,123.0,Caminhões
Ro-Ro A,2023-01-13,Hamburgo,Embarque e Desembarque,"39,120.00",Embarque e desembarque de 489 Carros,489.0,Carros
Ro-Ro A,2023-01-13,Los Angeles,Manutenção,"2,082.09",Manutenção e reparos,,
Ro-Ro A,2023-01-13,Los Angeles,Embarque e Desembarque,"67,120.00",Embarque e desembarque de 839 Carros,839.0,Carros
Ro-Ro A,2023-01-13,Roterdã,Embarque e Desembarque,"60,320.00",Embarque e desembarque de 754 Carros,754.0,Carros
Ro-Ro B,2023-01-13,Singapura,Taxas Portuárias,"5,083.88",Taxas portuárias em Singapura,,
Ro-Ro B,2023-01-13,Hamburgo,Manutenção,"3,711.25",Manutenção e reparos,,
Ro-Ro B,2023-01-13,Los Angeles,Embarque e Desembarque,"83,640.00",Embarque e desembarque de 697 Outros,697.0,Outros
Ro-Ro B,2023-01-13,Singapura,Manutenção,"3,299.55",Manutenção e reparos,,
Ro-Ro C,2023-01-13,Hamburgo,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-13,Hamburgo,Combustível,"12,195.89",Combustível em Hamburgo,,
Ro-Ro D,2023-01-13,Xangai,Embarque e Desembarque,"43,680.00",Embarque e desembarque de 364 Outros,364.0,Outros
Ro-Ro D,2023-01-13,Roterdã,Taxas Portuárias,"2,042.09",Taxas portuárias em Roterdã,,
Ro-Ro D,2023-01-13,Los Angeles,Taxas Portuárias,"2,460.90",Taxas portuárias em Los Angeles,,
Ro-Ro D,2023-01-13,Xangai,Embarque e Desembarque,"121,400.00",Embarque e desembarque de 607 Caminhões,607.0,Caminhões
Ro-Ro E,2023-01-13,Hamburgo,Seguros,"1,800.00",Seguro diário,,
Ro-Ro E,2023-01-13,Hamburgo,Embarque e Desembarque,"47,040.00",Embarque e desembarque de 588 Carros,588.0,Carros
Ro-Ro E,2023-01-13,Singapura,Taxas Portuárias,"2,403.33",Taxas portuárias em Singapura,,
Ro-Ro E,2023-01-13,Xangai,Taxas Portuárias,"4,735.08",Taxas portuárias em Xangai,,
Ro-Ro E,2023-01-13,Singapura,Embarque e Desembarque,"147,600.00",Embarque e desembarque de 738 Caminhões,738.0,Caminhões
Ro-Ro A,2023-01-14,Singapura,Combustível,"15,218.96",Combustível em Singapura,,
Ro-Ro A,2023-01-14,Hamburgo,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-14,Xangai,Manutenção,"2,996.13",Manutenção e reparos,,
Ro-Ro A,2023-01-14,Xangai,Manutenção,"3,768.64",Manutenção e reparos,,
Ro-Ro B,2023-01-14,Roterdã,Seguros,"1,800.00",Seguro diário,,
Ro-Ro B,2023-01-14,Los Angeles,Seguros,"1,800.00",Seguro diário,,
Ro-Ro B,2023-01-14,Los Angeles,Manutenção,"3,130.10",Manutenção e reparos,,
Ro-Ro B,2023-01-14,Hamburgo,Manutenção,"1,313.41",Manutenção e reparos,,
Ro-Ro B,2023-01-14,Singapura,Seguros,"1,800.00",Seguro diário,,
Ro-Ro C,2023-01-14,Roterdã,Combustível,"21,859.25",Combustível em Roterdã,,
Ro-Ro C,2023-01-14,Singapura,Taxas Portuárias,"5,260.95",Taxas portuárias em Singapura,,
Ro-Ro C,2023-01-14,Roterdã,Taxas Portuárias,"1,994.71",Taxas portuárias em Roterdã,,
Ro-Ro C,2023-01-14,Xangai,Manutenção,"3,404.89",Manutenção e reparos,,
Ro-Ro D,2023-01-14,Roterdã,Taxas Portuárias,"5,142.65",Taxas portuárias em Roterdã,,
Ro-Ro E,2023-01-14,Roterdã,Taxas Portuárias,"2,573.95",Taxas portuárias em Roterdã,,
Ro-Ro E,2023-01-14,Xangai,Taxas Portuárias,"4,007.05",Taxas portuárias em Xangai,,
Ro-Ro E,2023-01-14,Roterdã,Taxas Portuárias,"2,869.98",Taxas portuárias em Roterdã,,
Ro-Ro E,2023-01-14,Roterdã,Embarque e Desembarque,"165,800.00",Embarque e desembarque de 829 Caminhões,829.0,Caminhões
Ro-Ro A,2023-01-15,Singapura,Manutenção,"1,200.22",Manutenção e reparos,,
Ro-Ro A,2023-01-15,Los Angeles,Seguros,"1,800.00",Seguro diário,,
Ro-Ro B,2023-01-15,Xangai,Manutenção,"2,911.05",Manutenção e reparos,,
Ro-Ro C,2023-01-15,Roterdã,Seguros,"1,800.00",Seguro diário,,
Ro-Ro C,2023-01-15,Los Angeles,Combustível,"18,722.23",Combustível em Los Angeles,,
Ro-Ro D,2023-01-15,Xangai,Manutenção,"2,508.17",Manutenção e reparos,,
Ro-Ro D,2023-01-15,Hamburgo,Manutenção,"3,194.13",Manutenção e reparos,,
Ro-Ro D,2023-01-15,Roterdã,Taxas Portuárias,"2,742.21",Taxas portuárias em Roterdã,,
Ro-Ro D,2023-01-15,Hamburgo,Combustível,"21,610.41",Combustível em Hamburgo,,
Ro-Ro E,2023-01-15,Singapura,Embarque e Desembarque,"42,120.00",Embarque e desembarque de 351 Outros,351.0,Outros
Ro-Ro A,2023-01-16,Roterdã,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-16,Los Angeles,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-16,Hamburgo,Manutenção,"3,504.95",Manutenção e reparos,,
Ro-Ro B,2023-01-16,Singapura,Embarque e Desembarque,"13,440.00",Embarque e desembarque de 112 Outros,112.0,Outros
Ro-Ro B,2023-01-16,Xangai,Embarque e Desembarque,"87,240.00",Embarque e desembarque de 727 Outros,727.0,Outros
Ro-Ro B,2023-01-16,Roterdã,Seguros,"1,800.00",Seguro diário,,
Ro-Ro B,2023-01-16,Roterdã,Combustível,"22,653.35",Combustível em Roterdã,,
Ro-Ro B,2023-01-16,Xangai,Embarque e Desembarque,"31,800.00",Embarque e desembarque de 159 Caminhões,159.0,Caminhões
Ro-Ro C,2023-01-16,Hamburgo,Manutenção,"2,865.23",Manutenção e reparos,,
Ro-Ro C,2023-01-16,Los Angeles,Seguros,"1,800.00",Seguro diário,,
Ro-Ro C,2023-01-16,Hamburgo,Manutenção,"3,927.25",Manutenção e reparos,,
Ro-Ro C,2023-01-16,Hamburgo,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-16,Los Angeles,Taxas Portuárias,"2,051.23",Taxas portuárias em Los Angeles,,
Ro-Ro D,2023-01-16,Singapura,Embarque e Desembarque,"23,640.00",Embarque e desembarque de 197 Outros,197.0,Outros
Ro-Ro E,2023-01-16,Singapura,Combustível,"22,936.22",Combustível em Singapura,,
Ro-Ro E,2023-01-16,Los Angeles,Taxas Portuárias,"1,659.68",Taxas portuárias em Los Angeles,,
Ro-Ro E,2023-01-16,Xangai,Combustível,"21,896.93",Combustível em Xangai,,
Ro-Ro E,2023-01-16,Los Angeles,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-17,Roterdã,Taxas Portuárias,"5,131.72",Taxas portuárias em Roterdã,,
Ro-Ro A,2023-01-17,Xangai,Combustível,"8,267.61",Combustível em Xangai,,
Ro-Ro A,2023-01-17,Hamburgo,Taxas Portuárias,"3,199.86",Taxas portuárias em Hamburgo,,
Ro-Ro B,2023-01-17,Singapura,Combustível,"18,097.46",Combustível em Singapura,,
Ro-Ro C,2023-01-17,Roterdã,Manutenção,"2,399.77",Manutenção e reparos,,
Ro-Ro C,2023-01-17,Hamburgo,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-17,Singapura,Taxas Portuárias,"5,034.90",Taxas portuárias em Singapura,,
Ro-Ro D,2023-01-17,Hamburgo,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-17,Hamburgo,Embarque e Desembarque,"20,880.00",Embarque e desembarque de 174 Outros,174.0,Outros
Ro-Ro D,2023-01-17,Xangai,Embarque e Desembarque,"58,800.00",Embarque e desembarque de 490 Outros,490.0,Outros
Ro-Ro D,2023-01-17,Singapura,Embarque e Desembarque,"50,880.00",Embarque e desembarque de 424 Outros,424.0,Outros
Ro-Ro E,2023-01-17,Xangai,Manutenção,"1,473.73",Manutenção e reparos,,
Ro-Ro A,2023-01-18,Hamburgo,Taxas Portuárias,"4,325.20",Taxas portuárias em Hamburgo,,
Ro-Ro B,2023-01-18,Roterdã,Embarque e Desembarque,"33,480.00",Embarque e desembarque de 279 Outros,279.0,Outros
Ro-Ro C,2023-01-18,Los Angeles,Manutenção,"3,853.99",Manutenção e reparos,,
Ro-Ro C,2023-01-18,Los Angeles,Combustível,"21,865.22",Combustível em Los Angeles,,
Ro-Ro C,2023-01-18,Xangai,Combustível,"9,871.30",Combustível em Xangai,,
Ro-Ro C,2023-01-18,Singapura,Seguros,"1,800.00",Seguro diário,,
Ro-Ro C,2023-01-18,Xangai,Taxas Portuárias,"3,474.36",Taxas portuárias em Xangai,,
Ro-Ro D,2023-01-18,Hamburgo,Combustível,"11,650.73",Combustível em Hamburgo,,
Ro-Ro D,2023-01-18,Hamburgo,Taxas Portuárias,"2,465.43",Taxas portuárias em Hamburgo,,
Ro-Ro D,2023-01-18,Roterdã,Taxas Portuárias,"4,501.64",Taxas portuárias em Roterdã,,
Ro-Ro D,2023-01-18,Xangai,Taxas Portuárias,"5,889.95",Taxas portuárias em Xangai,,
Ro-Ro D,2023-01-18,Singapura,Manutenção,"2,174.26",Manutenção e reparos,,
Ro-Ro E,2023-01-18,Hamburgo,Taxas Portuárias,"1,722.56",Taxas portuárias em Hamburgo,,
Ro-Ro E,2023-01-18,Los Angeles,Embarque e Desembarque,"77,920.00",Embarque e desembarque de 974 Carros,974.0,Carros
Ro-Ro E,2023-01-18,Roterdã,Combustível,"12,742.53",Combustível em Roterdã,,
Ro-Ro A,2023-01-19,Roterdã,Embarque e Desembarque,"71,800.00",Embarque e desembarque de 359 Caminhões,359.0,Caminhões
Ro-Ro A,2023-01-19,Singapura,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-19,Singapura,Embarque e Desembarque,"78,000.00",Embarque e desembarque de 975 Carros,975.0,Carros
Ro-Ro A,2023-01-19,Xangai,Seguros,"1,800.00",Seguro diário,,
