id_log,SHIP_NAME,DATE_,Porto,TYPE_COST,VALUE,Descrição,LOAD_NAME,VOLUME,TEMP,WEIGHT_TONNAGE,NUMBER_OF_CONTAINERS,NUMBER_OF_VEHICLES
20,Carga Geral D,2023-01-02,Xangai,Manutenção,1303.41,Manutenção e reparos,,,,,,
21,Carga Geral D,2023-01-02,Los Angeles,Manutenção,1195.23,Manutenção e reparos,,,,,,
22,Carga Geral D,2023-01-02,Roterdã,Combustível,7282.16,Combustível em Roterdã,,,,,,
23,Carga Geral E,2023-01-02,Xangai,Carregamento/Descarga,15815.5,Carregamento/descarga de 31631 m³ de Granéis Sólidos,Granéis Sólidos,31631.0,,,,
24,Carga Geral E,2023-01-02,Xangai,Taxas Portuárias,2390.47,Taxas portuárias em Xangai,,,,,,
25,Carga Geral A,2023-01-03,Xangai,Manutenção,3978.51,Manutenção e reparos,,,,,,
26,Carga Geral B,2023-01-03,Singapura,Manutenção,3198.57,Manutenção e reparos,,,,,,
27,Carga Geral C,2023-01-03,Roterdã,Taxas Portuárias,6875.25,Taxas portuárias em Roterdã,,,,,,
28,Carga Geral C,2023-01-03,Hamburgo,Taxas Portuárias,6971.67,Taxas portuárias em Hamburgo,,,,,,
29,Carga Geral C,2023-01-03,Xangai,Taxas Portuárias,3383.01,Taxas portuárias em Xangai,,,,,,
30,Carga Geral C,2023-01-03,Hamburgo,Manutenção,4383.43,Manutenção e reparos,,,,,,
31,Carga Geral C,2023-01-03,Los Angeles,Seguros,1900.0,Seguro diário,,,,,,
32,Carga Geral D,2023-01-03,Hamburgo,Seguros,1900.0,Seguro diário,,,,,,
33,Carga Geral D,2023-01-03,Hamburgo,Carregamento/Descarga,7356.5,Carregamento/descarga de 14713 m³ de Granéis Sólidos,Granéis Sólidos,14713.0,,,,
34,Carga Geral D,2023-01-03,Hamburgo,Taxas Portuárias,2929.83,Taxas portuárias em Hamburgo,,,,,,
35,Carga Geral D,2023-01-03,Los Angeles,Combustível,23016.51,Combustível em Los Angeles,,,,,,
36,Carga Geral E,2023-01-03,Los Angeles,Manutenção,2098.37,Manutenção e reparos,,,,,,
37,Carga Geral E,2023-01-03,Xangai,Taxas Portuárias,2990.52,Taxas portuárias em Xangai,,,,,,
38,Carga Geral A,2023-01-04,Xangai,Manutenção,2887.06,Manutenção e reparos,,,,,,
39,Carga Geral A,2023-01-04,Singapura,Carregamento/Descarga,10321.0,Carregamento/descarga de 20642 m³ de Granéis Sólidos,Granéis Sólidos,20642.0,,,,
40,Carga Geral B,2023-01-04,Hamburgo,Manutenção,4401.3,Manutenção e reparos,,,,,,
41,Carga Geral B,2023-01-04,Xangai,Taxas Portuárias,2821.84,Taxas portuárias em Xangai,,,,,,
42,Carga Geral B,2023-01-04,Los Angeles,Manutenção,3056.41,Manutenção e reparos,,,,,,
43,Carga Geral B,2023-01-04,Singapura,Taxas Portuárias,3324.21,Taxas portuárias em Singapura,,,,,,
44,Carga Geral B,2023-01-04,Hamburgo,Taxas Portuárias,5580.26,Taxas portuárias em Hamburgo,,,,,,
45,Carga Geral C,2023-01-04,Xangai,Taxas Portuárias,6885.48,Taxas portuárias em Xangai,,,,,,
46,Carga Geral C,2023-01-04,Roterdã,Taxas Portuárias,6443.16,Taxas portuárias em Roterdã,,,,,,
47,Carga Geral C,2023-01-04,Hamburgo,Carregamento/Descarga,10838.0,Carregamento/descarga de 10838 m³ de Outros,Outros,10838.0,,,,
48,Carga Geral D,2023-01-04,Roterdã,Manutenção,989.76,Manutenção e reparos,,,,,,
49,Carga Geral D,2023-01-04,Xangai,Carregamento/Descarga,11890.5,Carregamento/descarga de 23781 m³ de Granéis Sólidos,Granéis Sólidos,23781.0,,,,
50,Carga Geral D,2023-01-04,Xangai,Manutenção,2079.87,Manutenção e reparos,,,,,,
51,Carga Geral D,2023-01-04,Hamburgo,Combustível,14997.34,Combustível em Hamburgo,,,,,,
52,Carga Geral D,2023-01-04,Los Angeles,Taxas Portuárias,2361.31,Taxas portuárias em Los Angeles,,,,,,
53,Carga Geral E,2023-01-04,Roterdã,Seguros,1900.0,Seguro diário,,,,,,
54,Carga Geral E,2023-01-04,Singapura,Combustível,25383.31,Combustível em Singapura,,,,,,
55,Carga Geral E,2023-01-04,Los Angeles,Carregamento/Descarga,11613.0,Carregamento/descarga de 23226 m³ de Granéis Sólidos,Granéis Sólidos,23226.0,,,,
56,Carga Geral A,2023-01-05,Xangai,Manutenção,2024.71,Manutenção e reparos,,,,,,
57,Carga Geral A,2023-01-05,Los Angeles,Taxas Portuárias,2748.56,Taxas portuárias em Los Angeles,,,,,,
58,Carga Geral A,2023-01-05,Roterdã,Taxas Portuárias,3286.07,Taxas portuárias em Roterdã,,,,,,
59,Carga Geral A,2023-01-05,Singapura,Combustível,8127.65,Combustível em Singapura,,,,,,
60,Carga Geral B,2023-01-05,Hamburgo,Manutenção,1357.08,Manutenção e reparos,,,,,,
61,Carga Geral B,2023-01-05,Singapura,Taxas Portuárias,6859.25,Taxas portuárias em Singapura,,,,,,
62,Carga Geral B,2023-01-05,Singapura,Manutenção,2207.91,Manutenção e reparos,,,,,,
63,Carga Geral B,2023-01-05,Hamburgo,Seguros,1900.0,Seguro diário,,,,,,
64,Carga Geral B,2023-01-05,Xangai,Taxas Portuárias,6668.2,Taxas portuárias em Xangai,,,,,,
65,Carga Geral C,2023-01-05,Xangai,Combustível,15513.97,Combustível em Xangai,,,,,,
66,Carga Geral C,2023-01-05,Xangai,Carregamento/Descarga,17284.0,Carregamento/descarga de 34568 m³ de Granéis Sólidos,Granéis Sólidos,34568.0,,,,
67,Carga Geral C,2023-01-05,Singapura,Taxas Portuárias,3910.41,Taxas portuárias em Singapura,,,,,,
68,Carga Geral D,2023-01-05,Xangai,Manutenção,3978.93,Manutenção e reparos,,,,,,
69,Carga Geral E,2023-01-05,Roterdã,Taxas Portuárias,3548.92,Taxas portuárias em Roterdã,,,,,,
70,Carga Geral E,2023-01-05,Los Angeles,Carregamento/Descarga,21119.0,Carregamento/descarga de 21119 m³ de Outros,Outros,21119.0,,,,
71,Carga Geral E,2023-01-05,Los Angeles,Manutenção,4152.93,Manutenção e reparos,,,,,,
72,Carga Geral E,2023-01-05,Los Angeles,Carregamento/Descarga,66957.0,Carregamento/descarga de 44638 m³ de Veículos,Veículos,44638.0,,,,
73,Carga Geral A,2023-01-06,Hamburgo,Manutenção,3677.15,Manutenção e reparos,,,,,,
74,Carga Geral B,2023-01-06,Hamburgo,Combustível,11577.22,Combustível em Hamburgo,,,,,,
75,Carga Geral B,2023-01-06,Los Angeles,Seguros,1900.0,Seguro diário,,,,,,
76,Carga Geral B,2023-01-06,Los Angeles,Carregamento/Descarga,15862.8,Carregamento/descarga de 13219 m³ de Contêineres,Contêineres,13219.0,,,,
77,Carga Geral C,2023-01-06,Singapura,Taxas Portuárias,3205.36,Taxas portuárias em Singapura,,,,,,
78,Carga Geral C,2023-01-06,Roterdã,Combustível,17770.73,Combustível em Roterdã,,,,,,
79,Carga Geral C,2023-01-06,Singapura,Manutenção,1769.63,Manutenção e reparos,,,,,,
80,Carga Geral C,2023-01-06,Singapura,Carregamento/Descarga,20656.5,Carregamento/descarga de 13771 m³ de Veículos,Veículos,13771.0,,,,
81,Carga Geral C,2023-01-06,Xangai,Carregamento/Descarga,7285.5,Carregamento/descarga de 14571 m³ de Granéis Sólidos,Granéis Sólidos,14571.0,,,,
82,Carga Geral D,2023-01-06,Singapura,Carregamento/Descarga,7155.2,Carregamento/descarga de 8944 m³ de Carga Solta,Carga Solta,8944.0,,,,
83,Carga Geral D,2023-01-06,Los Angeles,Seguros,1900.0,Seguro diário,,,,,,
84,Carga Geral D,2023-01-06,Singapura,Carregamento/Descarga,18217.0,Carregamento/descarga de 18217 m³ de Outros,Outros,18217.0,,,,
85,Carga Geral D,2023-01-06,Los Angeles,Manutenção,3824.7,Manutenção e reparos,,,,,,
86,Carga Geral E,2023-01-06,Singapura,Taxas Portuárias,6474.37,Taxas portuárias em Singapura,,,,,,
87,Carga Geral E,2023-01-06,Hamburgo,Seguros,1900.0,Seguro diário,,,,,,
88,Carga Geral A,2023-01-07,Roterdã,Carregamento/Descarga,4791.0,Carregamento/descarga de 9582 m³ de Granéis Sólidos,Granéis Sólidos,9582.0,,,,
89,Carga Geral A,2023-01-07,Roterdã,Carregamento/Descarga,24979.5,Carregamento/descarga de 49959 m³ de Granéis Sólidos,Granéis Sólidos,49959.0,,,,
90,Carga Geral A,2023-01-07,Singapura,Taxas Portuárias,5199.73,Taxas portuárias em Singapura,,,,,,
91,Carga Geral B,2023-01-07,Los Angeles,Carregamento/Descarga,58476.0,Carregamento/descarga de 38984 m³ de Veículos,Veículos,38984.0,,,,
92,Carga Geral B,2023-01-07,Hamburgo,Carregamento/Descarga,39970.0,Carregamento/descarga de 39970 m³ de Outros,Outros,39970.0,,,,
93,Carga Geral B,2023-01-07,Hamburgo,Combustível,7219.58,Combustível em Hamburgo,,,,,,
94,Carga Geral C,2023-01-07,Roterdã,Manutenção,4311.6,Manutenção e reparos,,,,,,
95,Carga Geral C,2023-01-07,Los Angeles,Taxas Portuárias,6821.48,Taxas portuárias em Los Angeles,,,,,,
96,Carga Geral C,2023-01-07,Hamburgo,Seguros,1900.0,Seguro diário,,,,,,
97,Carga Geral C,2023-01-07,Roterdã,Carregamento/Descarga,27732.0,Carregamento/descarga de 27732 m³ de Outros,Outros,27732.0,,,,
98,Carga Geral D,2023-01-07,Xangai,Carregamento/Descarga,9498.0,Carregamento/descarga de 9498 m³ de Outros,Outros,9498.0,,,,
99,Carga Geral D,2023-01-07,Los Angeles,Carregamento/Descarga,18880.0,Carregamento/descarga de 18880 m³ de Outros,Outros,18880.0,,,,
100,Carga Geral E,2023-01-07,Roterdã,Combustível,20772.66,Combustível em Roterdã,,,,,,
101,Carga Geral E,2023-01-07,Los Angeles,Combustível,7574.53,Combustível em Los Angeles,,,,,,
102,Carga Geral E,2023-01-07,Los Angeles,Carregamento/Descarga,11147.2,Carregamento/descarga de 13934 m³ de Carga Solta,Carga Solta,13934.0,,,,
103,Carga Geral E,2023-01-07,Xangai,Taxas Portuárias,5948.27,Taxas portuárias em Xangai,,,,,,
104,Carga Geral E,2023-01-07,Hamburgo,Seguros,1900.0,Seguro diário,,,,,,
105,Carga Geral A,2023-01-08,Hamburgo,Seguros,1900.0,Seguro diário,,,,,,
106,Carga Geral A,2023-01-08,Hamburgo,Carregamento/Descarga,16498.4,Carregamento/descarga de 20623 m³ de Carga Solta,Carga Solta,20623.0,,,,
107,Carga Geral A,2023-01-08,Los Angeles,Carregamento/Descarga,28508.4,Carregamento/descarga de 23757 m³ de Contêineres,Contêineres,23757.0,,,,
108,Carga Geral B,2023-01-08,Hamburgo,Taxas Portuárias,4571.89,Taxas portuárias em Hamburgo,,,,,,
109,Carga Geral B,2023-01-08,Xangai,Combustível,23847.82,Combustível em Xangai,,,,,,
110,Carga Geral B,2023-01-08,Roterdã,Seguros,1900.0,Seguro diário,,,,,,
111,Carga Geral B,2023-01-08,Hamburgo,Carregamento/Descarga,11644.0,Carregamento/descarga de 14555 m³ de Carga Solta,Carga Solta,14555.0,,,,
112,Carga Geral C,2023-01-08,Singapura,Combustível,27413.93,Combustível em Singapura,,,,,,
113,Carga Geral C,2023-01-08,Singapura,Carregamento/Descarga,42781.5,Carregamento/descarga de 28521 m³ de Veículos,Veículos,28521.0,,,,
114,Carga Geral D,2023-01-08,Xangai,Seguros,1900.0,Seguro diário,,,,,,
115,Carga Geral E,2023-01-08,Singapura,Manutenção,2028.65,Manutenção e reparos,,,,,,
116,Carga Geral E,2023-01-08,Los Angeles,Carregamento/Descarga,23737.0,Carregamento/descarga de 47474 m³ de Granéis Sólidos,Granéis Sólidos,47474.0,,,,
117,Carga Geral E,2023-01-08,Singapura,Taxas Portuárias,2852.85,Taxas portuárias em Singapura,,,,,,
118,Carga Geral A,2023-01-09,Roterdã,Taxas Portuárias,5382.33,Taxas portuárias em Roterdã,,,,,,
119,Carga Geral A,2023-01-09,Singapura,Seguros,1900.0,Seguro diário,,,,,,
120,Carga Geral A,2023-01-09,Singapura,Manutenção,3123.46,Manutenção e reparos,,,,,,
121,Carga Geral A,2023-01-09,Singapura,Taxas Portuárias,5620.34,Taxas portuárias em Singapura,,,,,,
122,Carga Geral A,2023-01-09,Xangai,Seguros,1900.0,Seguro diário,,,,,,
123,Carga Geral B,2023-01-09,Los Angeles,Taxas Portuárias,4379.17,Taxas portuárias em Los Angeles,,,,,,
124,Carga Geral B,2023-01-09,Xangai,Carregamento/Descarga,35596.8,Carregamento/descarga de 44496 m³ de Carga Solta,Carga Solta,44496.0,,,,
125,Carga Geral C,2023-01-09,Roterdã,Seguros,1900.0,Seguro diário,,,,,,
126,Carga Geral D,2023-01-09,Xangai,Carregamento/Descarga,14798.0,Carregamento/descarga de 14798 m³ de Outros,Outros,14798.0,,,,
127,Carga Geral D,2023-01-09,Hamburgo,Carregamento/Descarga,17117.5,Carregamento/descarga de 34235 m³ de Granéis Sólidos,Granéis Sólidos,34235.0,,,,
128,Carga Geral D,2023-01-09,Roterdã,Manutenção,1463.23,Manutenção e reparos,,,,,,
129,Carga Geral D,2023-01-09,Roterdã,Carregamento/Descarga,6503.2,Carregamento/descarga de 8129 m³ de Carga Solta,Carga Solta,8129.0,,,,
130,Carga Geral E,2023-01-09,Roterdã,Manutenção,2037.78,Manutenção e reparos,,,,,,
131,Carga Geral E,2023-01-09,Hamburgo,Taxas Portuárias,6775.09,Taxas portuárias em Hamburgo,,,,,,
132,Carga Geral A,2023-01-10,Xangai,Carregamento/Descarga,5938.4,Carregamento/descarga de 7423 m³ de Carga Solta,Carga Solta,7423.0,,,,
133,Carga Geral A,2023-01-10,Roterdã,Seguros,1900.0,Seguro diário,,,,,,
134,Carga Geral B,2023-01-10,Los Angeles,Combustível,22763.92,Combustível em Los Angeles,,,,,,
135,Carga Geral B,2023-01-10,Los Angeles,Manutenção,2499.14,Manutenção e reparos,,,,,,
136,Carga Geral C,2023-01-10,Hamburgo,Carregamento/Descarga,21851.2,Carregamento/descarga de 27314 m³ de Carga Solta,Carga Solta,27314.0,,,,
137,Carga Geral C,2023-01-10,Singapura,Carregamento/Descarga,9199.0,Carregamento/descarga de 18398 m³ de Granéis Sólidos,Granéis Sólidos,18398.0,,,,
138,Carga Geral C,2023-01-10,Xangai,Combustível,19891.61,Combustível em Xangai,,,,,,
139,Carga Geral C,2023-01-10,Roterdã,Taxas Portuárias,6834.13,Taxas portuárias em Roterdã,,,,,,
140,Carga Geral C,2023-01-10,Singapura,Manutenção,1761.76,Manutenção e reparos,,,,,,
141,Carga Geral D,2023-01-10,Roterdã,Seguros,1900.0,Seguro diário,,,,,,
142,Carga Geral E,2023-01-10,Hamburgo,Carregamento/Descarga,32284.0,Carregamento/descarga de 32284 m³ de Outros,Outros,32284.0,,,,
143,Carga Geral E,2023-01-10,Roterdã,Seguros,1900.0,Seguro diário,,,,,,
144,Carga Geral E,2023-01-10,Roterdã,Manutenção,4297.12,Manutenção e reparos,,,,,,
145,Carga Geral E,2023-01-10,Roterdã,Seguros,1900.0,Seguro diário,,,,,,
146,Carga Geral A,2023-01-11,Los Angeles,Combustível,19891.28,Combustível em Los Angeles,,,,,,
147,Carga Geral A,2023-01-11,Hamburgo,Carregamento/Descarga,13798.5,Carregamento/descarga de 9199 m³ de Veículos,Veículos,9199.0,,,,
148,Carga Geral A,2023-01-11,Xangai,Seguros,1900.0,Seguro diário,,,,,,
149,Carga Geral A,2023-01-11,Xangai,Seguros,1900.0,Seguro diário,,,,,,
150,Carga Geral A,2023-01-11,Singapura,Carregamento/Descarga,56928.0,Carregamento/descarga de 47440 m³ de Contêineres,Contêineres,47440.0,,,,
151,Carga Geral B,2023-01-11,Roterdã,Taxas Portuárias,4823.1,Taxas portuárias em Roterdã,,,,,,
152,Carga Geral B,2023-01-11,Singapura,Manutenção,940.71,Manutenção e reparos,,,,,,
153,Carga Geral C,2023-01-11,Xangai,Seguros,1900.0,Seguro diário,,,,,,
154,Carga Geral C,2023-01-11,Hamburgo,Taxas Portuárias,4870.7,Taxas portuárias em Hamburgo,,,,,,
155,Carga Geral C,2023-01-11,Xangai,Taxas Portuárias,4139.74,Taxas portuárias em Xangai,,,,,,
156,Carga Geral C,2023-01-11,Hamburgo,Combustível,10031.8,Combustível em Hamburgo,,,,,,
157,Carga Geral C,2023-01-11,Hamburgo,Combustível,8134.51,Combustível em Hamburgo,,,,,,
158,Carga Geral D,2023-01-11,Roterdã,Seguros,1900.0,Seguro diário,,,,,,
159,Carga Geral D,2023-01-11,Los Angeles,Seguros,1900.0,Seguro diário,,,,,,
160,Carga Geral E,2023-01-11,Xangai,Combustível,17318.04,Combustível em Xangai,,,,,,
161,Carga Geral E,2023-01-11,Roterdã,Combustível,23565.43,Combustível em Roterdã,,,,,,
162,Carga Geral A,2023-01-12,Los Angeles,Carregamento/Descarga,8025.0,Carregamento/descarga de 8025 m³ de Outros,Outros,8025.0,,,,
163,Carga Geral B,2023-01-12,Los Angeles,Carregamento/Descarga,8967.0,Carregamento/descarga de 17934 m³ de Granéis Sólidos,Granéis Sólidos,17934.0,,,,
164,Carga Geral B,2023-01-12,Roterdã,Manutenção,3753.65,Manutenção e reparos,,,,,,
165,Carga Geral B,2023-01-12,Singapura,Manutenção,1058.55,Manutenção e reparos,,,,,,
166,Carga Geral C,2023-01-12,Xangai,Manutenção,1659.47,Manutenção e reparos,,,,,,
167,Carga Geral C,2023-01-12,Xangai,Taxas Portuárias,2151.8,Taxas portuárias em Xangai,,,,,,
168,Carga Geral C,2023-01-12,Hamburgo,Seguros,1900.0,Seguro diário,,,,,,
169,Carga Geral C,2023-01-12,Los Angeles,Manutenção,3319.38,Manutenção e reparos,,,,,,
170,Carga Geral D,2023-01-12,Xangai,Combustível,16349.04,Combustível em Xangai,,,,,,
171,Carga Geral D,2023-01-12,Xangai,Taxas Portuárias,2283.65,Taxas portuárias em Xangai,,,,,,
172,Carga Geral D,2023-01-12,Hamburgo,Seguros,1900.0,Seguro diário,,,,,,
173,Carga Geral E,2023-01-12,Roterdã,Carregamento/Descarga,14204.0,Carregamento/descarga de 17755 m³ de Carga Solta,Carga Solta,17755.0,,,,
174,Carga Geral E,2023-01-12,Xangai,Manutenção,4017.96,Manutenção e reparos,,,,,,
175,Carga Geral A,2023-01-13,Hamburgo,Manutenção,4149.5,Manutenção e reparos,,,,,,
176,Carga Geral A,2023-01-13,Singapura,Manutenção,3543.51,Manutenção e reparos,,,,,,
177,Carga Geral B,2023-01-13,Xangai,Carregamento/Descarga,11548.8,Carregamento/descarga de 9624 m³ de Contêineres,Contêineres,9624.0,,,,
178,Carga Geral B,2023-01-13,Los Angeles,Taxas Portuárias,3317.01,Taxas portuárias em Los Angeles,,,,,,
179,Carga Geral B,2023-01-13,Roterdã,Taxas Portuárias,6788.05,Taxas portuárias em Roterdã,,,,,,
180,Carga Geral C,2023-01-13,Los Angeles,Taxas Portuárias,2987.02,Taxas portuárias em Los Angeles,,,,,,
181,Carga Geral C,2023-01-13,Roterdã,Seguros,1900.0,Seguro diário,,,,,,
182,Carga Geral D,2023-01-13,Singapura,Carregamento/Descarga,6331.5,Carregamento/descarga de 12663 m³ de Granéis Sólidos,Granéis Sólidos,12663.0,,,,
183,Carga Geral D,2023-01-13,Hamburgo,Carregamento/Descarga,56905.5,Carregamento/descarga de 37937 m³ de Veículos,Veículos,37937.0,,,,
184,Carga Geral E,2023-01-13,Roterdã,Taxas Portuárias,5321.25,Taxas portuárias em Roterdã,,,,,,
185,Carga Geral E,2023-01-13,Xangai,Manutenção,4175.07,Manutenção e reparos,,,,,,
186,Carga Geral E,2023-01-13,Roterdã,Seguros,1900.0,Seguro diário,,,,,,
187,Carga Geral E,2023-01-13,Roterdã,Taxas Portuárias,2635.2,Taxas portuárias em Roterdã,,,,,,
188,Carga Geral A,2023-01-14,Los Angeles,Manutenção,3161.88,Manutenção e reparos,,,,,,
189,Carga Geral B,2023-01-14,Hamburgo,Manutenção,2538.8,Manutenção e reparos,,,,,,
190,Carga Geral B,2023-01-14,Hamburgo,Carregamento/Descarga,9377.0,Carregamento/descarga de 9377 m³ de Outros,Outros,9377.0,,,,
191,Carga Geral B,2023-01-14,Los Angeles,Combustível,20222.17,Combustível em Los Angeles,,,,,,
192,Carga Geral B,2023-01-14,Xangai,Taxas Portuárias,6312.08,Taxas portuárias em Xangai,,,,,,
193,Carga Geral C,2023-01-14,Xangai,Carregamento/Descarga,24714.0,Carregamento/descarga de 16476 m³ de Veículos,Veículos,16476.0,,,,
194,Carga Geral C,2023-01-14,Xangai,Seguros,1900.0,Seguro diário,,,,,,
195,Carga Geral C,2023-01-14,Xangai,Carregamento/Descarga,17143.2,Carregamento/descarga de 14286 m³ de Contêineres,Contêineres,14286.0,,,,
196,Carga Geral C,2023-01-14,Hamburgo,Taxas Portuárias,2063.43,Taxas portuárias em Hamburgo,,,,,,
197,Carga Geral C,2023-01-14,Hamburgo,Manutenção,1547.08,Manutenção e reparos,,,,,,
198,Carga Geral D,2023-01-14,Roterdã,Taxas Portuárias,2721.38,Taxas portuárias em Roterdã,,,,,,
199,Carga Geral D,2023-01-14,Singapura,Carregamento/Descarga,11420.5,Carregamento/descarga de 22841 m³ de Granéis Sólidos,Granéis Sólidos,22841.0,,,,
200,Carga Geral E,2023-01-14,Roterdã,Combustível,25447.67,Combustível em Roterdã,,,,,,
201,Carga Geral E,2023-01-14,Hamburgo,Seguros,1900.0,Seguro diário,,,,,,
202,Carga Geral E,2023-01-14,Xangai,Carregamento/Descarga,33439.2,Carregamento/descarga de 27866 m³ de Contêineres,Contêineres,27866.0,,,,
203,Carga Geral E,2023-01-14,Xangai,Carregamento/Descarga,48318.0,Carregamento/descarga de 40265 m³ de Contêineres,Contêineres,40265.0,,,,
204,Carga Geral E,2023-01-14,Xangai,Seguros,1900.0,Seguro diário,,,,,,
205,Carga Geral A,2023-01-15,Hamburgo,Combustível,9946.99,Combustível em Hamburgo,,,,,,
206,Carga Geral A,2023-01-15,Hamburgo,Carregamento/Descarga,33537.0,Carregamento/descarga de 33537 m³ de Outros,Outros,33537.0,,,,
207,Carga Geral A,2023-01-15,Singapura,Seguros,1900.0,Seguro diário,,,,,,
208,Carga Geral A,2023-01-15,Xangai,Seguros,1900.0,Seguro diário,,,,,,
209,Carga Geral A,2023-01-15,Roterdã,Manutenção,3574.15,Manutenção e reparos,,,,,,
210,Carga Geral B,2023-01-15,Singapura,Manutenção,2721.55,Manutenção e reparos,,,,,,
211,Carga Geral C,2023-01-15,Roterdã,Combustível,26280.45,Combustível em Roterdã,,,,,,
212,Carga Geral C,2023-01-15,Roterdã,Taxas Portuárias,4353.74,Taxas portuárias em Roterdã,,,,,,
213,Carga Geral C,2023-01-15,Xangai,Combustível,21142.99,Combustível em Xangai,,,,,,
214,Carga Geral C,2023-01-15,Hamburgo,Carregamento/Descarga,34273.5,Carregamento/descarga de 22849 m³ de Veículos,Veículos,22849.0,,,,
215,Carga Geral C,2023-01-15,Los Angeles,Seguros,1900.0,Seguro diário,,,,,,
216,Carga Geral D,2023-01-15,Hamburgo,Combustível,11456.93,Combustível em Hamburgo,,,,,,
217,Carga Geral D,2023-01-15,Los Angeles,Carregamento/Descarga,8449.6,Carregamento/descarga de 10562 m³ de Carga Solta,Carga Solta,10562.0,,,,
218,Carga Geral D,2023-01-15,Hamburgo,Carregamento/Descarga,17516.8,Carregamento/descarga de 21896 m³ de Carga Solta,Carga Solta,21896.0,,,,
219,Carga Geral D,2023-01-15,Singapura,Taxas Portuárias,5010.88,Taxas portuárias em Singapura,,,,,,
220,Carga Geral D,2023-01-15,Singapura,Combustível,27924.98,Combustível em Singapura,,,,,,
221,Carga Geral E,2023-01-15,Hamburgo,Seguros,1900.0,Seguro diário,,,,,,
222,Carga Geral A,2023-01-16,Singapura,Manutenção,3811.88,Manutenção e reparos,,,,,,
223,Carga Geral B,2023-01-16,Roterdã,Seguros,1900.0,Seguro diário,,,,,,
224,Carga Geral C,2023-01-16,Hamburgo,Seguros,1900.0,Seguro diário,,,,,,
225,Carga Geral D,2023-01-16,Los Angeles,Carregamento/Descarga,54157.5,Carregamento/descarga de 36105 m³ de Veículos,Veículos,36105.0,,,,
226,Carga Geral D,2023-01-16,Roterdã,Combustível,27508.63,Combustível em Roterdã,,,,,,
227,Carga Geral D,2023-01-16,Roterdã,Seguros,1900.0,Seguro diário,,,,,,
228,Carga Geral D,2023-01-16,Hamburgo,Taxas Portuárias,4721.07,Taxas portuárias em Hamburgo,,,,,,
229,Carga Geral E,2023-01-16,Xangai,Seguros,1900.0,Seguro diário,,,,,,
230,Carga Geral E,2023-01-16,Xangai,Carregamento/Descarga,10124.4,Carregamento/descarga de 8437 m³ de Contêineres,Contêineres,8437.0,,,,
231,Carga Geral E,2023-01-16,Los Angeles,Manutenção,1103.89,Manutenção e reparos,,,,,,
232,Carga Geral E,2023-01-16,Los Angeles,Carregamento/Descarga,23707.0,Carregamento/descarga de 47414 m³ de Granéis Sólidos,Granéis Sólidos,47414.0,,,,
233,Carga Geral A,2023-01-17,Singapura,Taxas Portuárias,2879.2,Taxas portuárias em Singapura,,,,,,
234,Carga Geral A,2023-01-17,Roterdã,Manutenção,3605.41,Manutenção e reparos,,,,,,
235,Carga Geral B,2023-01-17,Los Angeles,Combustível,21420.95,Combustível em Los Angeles,,,,,,
236,Carga Geral B,2023-01-17,Roterdã,Taxas Portuárias,3182.27,Taxas portuárias em Roterdã,,,,,,
